gender,model,n,r_squared,aic,bic,ucla_coef,ucla_p,threshold,slope_below,slope_above,high_pe_threshold,roc_auc,optimal_ucla_cutoff,sensitivity,specificity
Male,Linear,31,0.22543068773094255,177.3221336917286,185.92605691863946,2.996454385096868,0.01646163853904034,,,,,,,,
Male,Quadratic,31,0.23875203521178334,178.78434559040807,188.8222560218041,2.9946798312839773,0.01797812796699622,,,,,,,,
Male,Piecewise_35,31,0.28834648336702684,178.69593800944375,190.1678356453249,,,35.0,1.808359013154086,1.880210379860522,,,,,
Male,Piecewise_40,31,0.2744032955783777,179.29743714432058,190.76933478020175,,,40.0,2.884396259750442,0.8396289589933406,,,,,
Male,Piecewise_45,31,0.3547670857611155,175.65856420741375,187.1304618432949,,,45.0,5.305839559250455,4.674095850182305,,,,,
Male,Piecewise_50,31,0.28443898183721583,178.86568522983043,190.3375828657116,,,50.0,4.063379498138423,5.757954587418693,,,,,
Male,ROC_optimal,31,,,,,,,,,11.996336996336996,0.5516304347826086,44.0,0.625,0.6086956521739131
Female,Linear,47,0.11969964771474839,292.9642264083441,304.0651120186044,-0.7081246127001852,0.5568191822280446,,,,,,,,
Female,Quadratic,47,0.14890488690669246,293.378480715552,306.3295139275224,-0.7380535295041468,0.5386953690797203,,,,,,,,
Female,Piecewise_35,47,0.19991225158208825,292.47376408882155,307.274944902502,,,35.0,4.052535840795518,-2.8142094619973737,,,,,
Female,Piecewise_40,47,0.22972879438708804,290.68876334364677,305.4899441573272,,,40.0,5.729046650564608,-0.606028896567965,,,,,
Female,Piecewise_45,47,0.21081488083697608,291.82890111515644,306.6300819288369,,,45.0,2.119565792535941,2.7199929326710213,,,,,
Female,Piecewise_50,47,0.12545683422519738,296.6558356783278,311.4570164920082,,,50.0,-0.11393623966996991,0.0795468620654205,,,,,
Female,ROC_optimal,47,,,,,,,,,11.945149017121116,0.3476190476190476,26.0,1.0,0.1428571428571429
All,Linear,78,0.040266442098897626,471.65525397985505,485.7955069399926,0.3267482612050994,0.6988399601152003,,,,,,,,
All,Quadratic,78,0.05800796742558745,472.1998609081412,488.6968226949683,0.30494021549899825,0.7174851205298138,,,,,,,,
All,Piecewise_35,78,0.08773489660611222,471.6986984647515,490.5523690782682,,,35.0,2.530681045778416,-1.2644252825564282,,,,,
All,Piecewise_40,78,0.06888693538972923,473.29380492220366,492.1474755357204,,,40.0,2.7916253759821132,-0.381743766511458,,,,,
All,Piecewise_45,78,0.14751166767123014,466.4125519835122,485.2662225970289,,,45.0,2.8955184918741983,3.2932876261535244,,,,,
All,Piecewise_50,78,0.05648194031747222,474.3261186682154,493.1797892817321,,,50.0,1.0488469784472363,2.674028546239601,,,,,
All,ROC_optimal,78,,,,,,,,,12.01233505450373,0.42155172413793107,26.0,1.0,0.13793103448275867
