,Factor1,Factor2,communality
q1,0.22380016788625165,0.7754690360272762,0.6514387409829875
q2,0.5868188877301793,0.3278804121609976,0.4518619716757505
q3,0.5992974935703487,0.33176922273723775,0.46922830295537293
q4,0.7831261891287217,0.25151137351797154,0.676544599108171
q5,0.3368108528730218,0.6855486868551987,0.5834185526619395
q6,0.18126688899974966,0.674904882436091,0.48835428538372144
q7,0.6208902695863667,0.47065556737853936,0.607021389971446
q8,0.6014769118617949,0.3561728806268025,0.4886335963967958
q9,0.08718525531549899,0.62209681935458,0.39460572139551375
q10,0.29483951326482954,0.7921355866483333,0.7144091262169407
q11,0.807036414584362,0.1827171350995905,0.6846933259241843
q12,0.6290414012652816,0.2479079214009337,0.45715142199912057
q13,0.6895896395205411,0.32495080425464246,0.5811268961198087
q14,0.7943019782706173,0.22700285647365304,0.6824459295318142
q15,0.4225665761654975,0.5645729382260612,0.4973051138694392
q16,0.3919206728814436,0.6090683712692553,0.524566094712427
q17,0.4428564018481639,0.09897335401376783,0.20591751746263703
q18,0.6626409709977934,0.23437379316091156,0.49402413136553225
q19,0.4239893688319602,0.6703558719622402,0.6291439799567794
q20,0.34519038629123233,0.6876548882310688,0.5920256480959739
