participant_id,n_pe_runs,max_pe_run,mean_pe_run,pe_after_pe_prob
GE4hogtdLdTFbNasENgtm6SO3hC3,3,1,1.0,0.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,13,2,1.3076923076923077,0.23529411764705882
80UJMJbCOMgs6YVpsMgXfYTzw6o2,5,1,1.0,0.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,8,2,1.125,0.1111111111111111
xyAILKfYP2M8GqAai11x6NT7IcP2,7,2,1.1428571428571428,0.125
pcbRW89vVJcviD87V3uxyG4I9st2,2,1,1.0,0.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,5,2,1.2,0.16666666666666666
yatBVTBMCSMp0wJluOCLzTFKMyP2,7,3,1.4285714285714286,0.3
u64Uf920g5VD9Byq26LT2rs5o4t1,12,2,1.1666666666666667,0.14285714285714285
nT1qJOiMyDdJ9ui4el195A8Hsgs1,6,2,1.1666666666666667,0.14285714285714285
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,9,2,1.1111111111111112,0.1
kxerHPSL3bQjD74HhiebYf3blPr1,18,5,1.5555555555555556,0.35714285714285715
2h5FgHUEvBS1twD5DqbTIRrMm1f2,12,2,1.0833333333333333,0.07692307692307693
lpzDdvuMkKWkPxu6xeclmdctEp42,7,2,1.2857142857142858,0.2222222222222222
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,8,2,1.125,0.1111111111111111
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,6,3,1.5,0.3333333333333333
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,5,2,1.2,0.16666666666666666
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,6,2,1.1666666666666667,0.14285714285714285
LliUMEIsrCVZ88YFQfevan2Og4z1,10,2,1.3,0.23076923076923078
EUhcW9kURScie1DwGPHqmNqotJB2,21,9,1.9523809523809523,0.4878048780487805
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,10,2,1.3,0.23076923076923078
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,18,3,1.1111111111111112,0.1
wdppvL4tIkVlGjou6aYzzjlaZXB2,21,4,1.4285714285714286,0.3103448275862069
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,2,1,1.0,0.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,5,2,1.4,0.2857142857142857
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,9,4,1.5555555555555556,0.35714285714285715
DPvStUYSmohmXwFwaKRqHv89R3k1,3,1,1.0,0.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,7,1,1.0,0.0
62fAfeQc27bZelkPX7G54T3gvci2,6,1,1.0,0.0
q0Atnpm0jZS5swcVmq0EMalQUKw1,5,1,1.0,0.0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,7,3,1.4285714285714286,0.3
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,6,2,1.3333333333333333,0.25
mwsliuPsLFhRFjtjQwYkqcCRDvi2,5,2,1.4,0.2857142857142857
iKVZi0Oo96UrMBhPQMHWFcf55uA3,4,1,1.0,0.0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,6,1,1.0,0.0
ssPK6ISW0HerTGke9hznqJ2LpKu1,8,1,1.0,0.0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,7,1,1.0,0.0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,7,1,1.0,0.0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,7,3,1.4285714285714286,0.3
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,9,2,1.2222222222222223,0.18181818181818182
v8nNKiWvPdcjiHXZci39OuFTY6M2,6,3,1.5,0.3333333333333333
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,1,1,1.0,
LSLmd8jENtONZFVkIpRDX665Bu73,6,2,1.5,0.3333333333333333
mUZzgdWKnPb2txOkJg9FHgqX5792,7,3,2.2857142857142856,0.5625
WbOfW9KmUkPQK8o5hlHJnJFdpp92,5,2,1.2,0.16666666666666666
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5,2,1.2,0.16666666666666666
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,7,1,1.0,0.0
fEq0OghbLpfD1jigl1Mbz96aMbg2,11,4,1.7272727272727273,0.42105263157894735
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,6,1,1.0,0.0
cEIs6U87xfbSL5eFTXDK77MmvNf1,9,2,1.2222222222222223,0.18181818181818182
AsXBOflrszVNKoFqbN61bMJqS0k2,11,5,1.7272727272727273,0.42105263157894735
Fz7EUjZCLuUBxLDUVtN6djaBTy42,6,3,1.6666666666666667,0.4
DzB19GqCB7fyrlEPexogWkjFzEx2,5,2,1.6,0.375
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,6,1,1.0,0.0
xBGZhFOeypWnqzSQClkrwV9z2vF3,7,2,1.1428571428571428,0.125
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,5,1,1.0,0.0
y1EHXv8tUTa4BRS4fRio7bULYfA2,10,5,1.6,0.375
HyQM2xKwwuVfqidmRYF6TiRk90C2,7,1,1.0,0.0
roaf78tUWxWSEjAUcUu8O7mrQbl1,7,2,1.2857142857142858,0.2222222222222222
Rc706mP0TSeIoIpMYH1SpRXjOxA2,1,1,1.0,0.0
i1tBstVkNiVP0qro7TgGD08IGGa2,6,2,1.3333333333333333,0.25
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,4,1,1.0,0.0
2zDXvJKvjeejeOSNbtDbtSI5cdz1,5,1,1.0,0.0
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,5,3,1.4,0.2857142857142857
iWsc4pghIEWOQUZKuQJMfe516UI3,6,1,1.0,0.0
lHDkoPQu5reNCO45npeYSS9eLQl1,10,3,1.6,0.375
WcTsIpSoEhYeIBSNjAbbdaNSBya2,8,2,1.625,0.38461538461538464
mg2WZiRBn4NQDKiMK43Y8dBqyG53,8,2,1.5,0.3333333333333333
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,7,2,1.4285714285714286,0.3
CtJe4bZZnYUBNrcPk00d3YQFSGp2,5,4,2.2,0.5454545454545454
CDEoAyvS8feXLKMKsaZah9agEhF3,6,1,1.0,0.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,5,3,2.0,0.5
QreA2rLiUhV3YHeMfuHMPdGbpJ53,6,5,1.8333333333333333,0.45454545454545453
AyAnuCaltBbpEYbudoyNzTvXlcC2,11,2,1.1818181818181819,0.15384615384615385
azdL1gX79EVd9iepyCAVQrqIaQF3,6,2,1.3333333333333333,0.25
jzdk8E3tVXTXIozlfK5oeEb7wWp2,6,3,1.3333333333333333,0.25
ORuVuFPU5idz3fMoXTGsbwToW2j2,9,3,1.2222222222222223,0.18181818181818182
pRQimOpZtsekBI2I1kbnD3pycmo1,5,3,1.6,0.375
yfjd8LbAMrYeG54927d3GiKAyXI2,6,2,1.1666666666666667,0.14285714285714285
HSggdq91WiQp16bOj7V3dABkcgk2,6,2,1.1666666666666667,0.14285714285714285
PLreonkqaMeFc0UqxKUelH44UQu1,13,2,1.1538461538461537,0.13333333333333333
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,5,2,1.6,0.375
foaW7wtvY3XLNdguFUK7OvOefP93,7,2,1.1428571428571428,0.125
EmfmKFDgWJdW47a6CNTNjnbYaPh2,6,3,1.5,0.3333333333333333
6ABZuv4jbjgE0B8TeyUk6nwVb122,7,1,1.0,0.0
WeHQDy9BWldTlaQDVVlsJNCqwxA2,11,2,1.1818181818181819,0.15384615384615385
0d841i8KPjdjwCYfDuUUXj0SEjH2,3,1,1.0,0.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,5,2,1.2,0.16666666666666666
5OOi73igsahMZ5IVKQwwyhnj4Cn2,3,1,1.0,0.0
O61Eik2zvrSQLMNpFbTNEgjWwMr2,6,2,1.1666666666666667,0.14285714285714285
Ub7nV8F55kPruh35ZpUcKoBUyn63,7,2,1.2857142857142858,0.2222222222222222
Co587hoelyeANqFX7AYvuVQW0lZ2,7,2,1.2857142857142858,0.2222222222222222
cec6NLR2ZLVVw6h0TEKSNIH11v02,1,1,1.0,0.0
M4Km1Q2P2oPliChDQkwl6k20FUI3,8,2,1.25,0.2
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,4,3,1.5,0.3333333333333333
Ru3Qf6pXZua1DfNkQdhbor6iJ403,6,3,1.3333333333333333,0.25
