participant_id,n_bursts,mean_burst_length,max_burst_length,total_pe,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,6,1.5,2,9,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,8,1.0,1,8,75
0d841i8KPjdjwCYfDuUUXj0SEjH2,3,1.0,1,3,66
0oa5NYVnIBS9NmrmRAZrahXDctP2,5,1.2,2,6,72
146QT9LupyU2BAiTsB3PMIpVXM22,7,1.0,1,7,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,4,1.25,2,5,65
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5,1.0,1,5,69
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,6,1.1666666666666667,2,7,86
23AEyocWhqY955WHbxhHRSgQ1ms2,7,1.1428571428571428,2,8,83
2h5FgHUEvBS1twD5DqbTIRrMm1f2,9,1.1111111111111112,2,10,91
2zDXvJKvjeejeOSNbtDbtSI5cdz1,5,1.0,1,5,71
3WijiOiVCoMbn80F05SPYsxl0TC2,8,1.125,2,9,78
3xCaqfcHxRQxuOlEzXz3PNcHODH2,2,1.5,2,3,68
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,6,1.1666666666666667,2,7,81
5OOi73igsahMZ5IVKQwwyhnj4Cn2,3,1.0,1,3,69
5rXSa3anB5ejmFrnwUsTB82byup1,7,1.0,1,7,85
5zxa5CMLGQSSonWOXqXf0QNS3PH3,7,1.0,1,7,85
62fAfeQc27bZelkPX7G54T3gvci2,5,1.2,2,6,64
6ABZuv4jbjgE0B8TeyUk6nwVb122,7,1.0,1,7,86
6WFCyGwk71XLPBmbe4Vav3eotVm1,3,1.3333333333333333,2,4,69
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,5,1.2,2,6,76
80UJMJbCOMgs6YVpsMgXfYTzw6o2,5,1.0,1,5,70
87w5Le0CgZhSfYAaOH3Xd2fc98l1,10,1.4,4,14,115
8bwaafIhKVMNBoHaXFcY8HirS9u2,6,1.1666666666666667,2,7,80
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,5,1.2,2,6,93
8mscvscxtXf7EbbLqCyy4a4pl2q2,6,1.0,1,6,74
9Xz1RIwnPXgyRqmucudW9VeuDnq1,5,1.6,2,8,70
9l7DjYLs0XdgwykPZR5E01KTZfu2,7,1.0,1,7,72
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,6,1.5,3,9,80
ASGvwW80q7VY7xFaLGZhVuErUQu2,6,1.1666666666666667,2,7,79
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,7,1.2857142857142858,2,9,91
AsXBOflrszVNKoFqbN61bMJqS0k2,11,1.7272727272727273,5,19,105
AyAnuCaltBbpEYbudoyNzTvXlcC2,11,1.1818181818181819,2,13,107
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,1,1.0,1,1,92
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,5,1.0,1,5,77
CDEoAyvS8feXLKMKsaZah9agEhF3,6,1.0,1,6,65
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,9,1.2222222222222223,2,11,90
CUNlBEszJVRGK1jWlTaOaCqpDg53,6,1.8333333333333333,3,11,75
Cbkx2NHyF3NrebzXGqNgSfiWent1,5,1.0,1,5,71
Co587hoelyeANqFX7AYvuVQW0lZ2,7,1.2857142857142858,2,9,82
CtJe4bZZnYUBNrcPk00d3YQFSGp2,5,2.2,4,11,79
DAKDKPH698P12JfTbbjemLI6PIH2,6,1.1666666666666667,2,7,83
DPvStUYSmohmXwFwaKRqHv89R3k1,3,1.0,1,3,63
DaRehVxIOhXtEtUExdgvUl0mKcx2,23,1.565217391304348,3,36,122
Df83JuPuJkXqTGbENhM2gw5SJM43,7,1.1428571428571428,2,8,88
DzB19GqCB7fyrlEPexogWkjFzEx2,5,1.6,2,8,78
EEodWwGh0wWq5f8JmzfKvq0lyeu1,6,1.8333333333333333,4,11,93
EUhcW9kURScie1DwGPHqmNqotJB2,21,1.9047619047619047,8,40,126
EmfmKFDgWJdW47a6CNTNjnbYaPh2,6,1.5,3,9,82
EoToosG69XMp4LTYdB6sB9WTrv22,1,1.0,1,1,62
Fz7EUjZCLuUBxLDUVtN6djaBTy42,6,1.6666666666666667,3,10,82
G1Ff3XYUZMRsPafyEQ80ussnVlf1,17,1.7058823529411764,5,29,128
G9VruXninjUdE9czK2DambZl5li2,9,1.3333333333333333,3,12,97
GDZGRW51kbWtAdUIHCtEd8sAtqY2,5,2.0,3,10,82
GE4hogtdLdTFbNasENgtm6SO3hC3,3,1.0,1,3,67
GEwkBw3YHaNp3TCh9YS9PKVfavz1,5,1.4,3,7,75
HSggdq91WiQp16bOj7V3dABkcgk2,6,1.1666666666666667,2,7,89
HbydnnT1hUP3WagAy2TJAc6GqVs2,2,1.0,1,2,65
HyQM2xKwwuVfqidmRYF6TiRk90C2,7,1.0,1,7,83
IaTJhUGICmO9xcL3605RW8QHneN2,11,1.1818181818181819,2,13,108
JntnHLHjYhc0xJJQALM3h9R5Ozv1,5,1.6,3,8,75
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,1,0.0,0,0,60
K26uNuY0VNPjJNF26wEx3bFg0kr2,5,1.4,2,7,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,6,1.1666666666666667,2,7,83
LSLmd8jENtONZFVkIpRDX665Bu73,6,1.5,2,9,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,6,1.0,1,6,70
LliUMEIsrCVZ88YFQfevan2Og4z1,10,1.3,2,13,96
M4Km1Q2P2oPliChDQkwl6k20FUI3,7,1.1428571428571428,2,8,93
MMSYeiMQi3gMr4PrXQcpXzFiegj2,13,1.6923076923076923,4,22,108
O61Eik2zvrSQLMNpFbTNEgjWwMr2,6,1.1666666666666667,2,7,78
OExlWyngGfPrScDYjaRcv5PIAet1,3,1.0,1,3,64
ORuVuFPU5idz3fMoXTGsbwToW2j2,9,1.2222222222222223,3,11,88
ORvIk1xRWIQmKuLVe6GXNouvAXx2,11,1.3636363636363635,2,15,91
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,5,1.2,2,6,66
PLreonkqaMeFc0UqxKUelH44UQu1,13,1.0769230769230769,2,14,91
PkpTH7pWpEOG9A86xSloOSozwTk2,22,1.7727272727272727,4,39,112
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,6,1.0,1,6,74
QbOEVCaZLUMOgltUdXm58oZOALv2,9,1.2222222222222223,3,11,98
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,5,1.2,2,6,63
QreA2rLiUhV3YHeMfuHMPdGbpJ53,6,1.8333333333333333,5,11,95
Qv0jhW3sqicqQvd7LfReAsI7nD73,7,1.0,1,7,76
Rc706mP0TSeIoIpMYH1SpRXjOxA2,1,1.0,1,1,59
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,5,1.2,2,6,74
Ru3Qf6pXZua1DfNkQdhbor6iJ403,6,1.1666666666666667,2,7,81
SOhR7IO689NQCPQu56SjATO8FR92,13,1.3076923076923077,3,17,100
SPCT9D90pRa1ihXS5jEw6vCmquI3,7,1.4285714285714286,3,10,113
SdDjNMBD2ZMTEwUphkohi2cZwUx1,6,1.0,1,6,83
SpSfX0ZcfcPLdlOENlfdfvEPwru2,6,1.0,1,6,72
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,5,1.6,2,8,76
Ub7nV8F55kPruh35ZpUcKoBUyn63,7,1.2857142857142858,2,9,80
UbwuSMtBsHdW3Ji41opk3GInMqi2,5,1.2,2,6,76
VwTymW8T68MfpnJvZ2X97ILqDWS2,6,1.6666666666666667,2,10,81
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,5,1.0,1,5,85
WbOfW9KmUkPQK8o5hlHJnJFdpp92,5,1.2,2,6,97
WcTsIpSoEhYeIBSNjAbbdaNSBya2,8,1.625,2,13,93
WeHQDy9BWldTlaQDVVlsJNCqwxA2,11,1.1818181818181819,2,13,107
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,5,1.8,3,9,71
WnC6Uscb5VMIr43GASKiUCO3AYH2,5,1.0,1,5,72
WqoZv41KTtTCuPKBPyClregrKAi1,6,1.0,1,6,89
XehZHBpwr5MYzUXkj0FAYCsFG922,14,1.6428571428571428,4,23,113
YEU5ox3jteVINfdSTg5ymqYcS9o2,2,1.0,1,2,67
Yco8O7tmHlbsUBfKW2ywcZByGO32,3,1.0,1,3,64
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,8,1.0,1,8,86
aM2995jJmJWvr6cneaGH58HauIg2,8,1.125,2,9,87
afdTz6deeYWf1qKNdUpKAYKN3hz1,9,2.111111111111111,4,19,101
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,10,1.3,2,13,119
azdL1gX79EVd9iepyCAVQrqIaQF3,6,1.3333333333333333,2,8,81
bXpFswkI7TfIfL6G4FqWrbaxTGx2,5,1.4,3,7,90
biQ16yPcCKSkJQhSxUKcDc8gm8I2,17,1.2352941176470589,3,21,128
btpcu1rB1JeSTo2upeHGPdv8kYG3,5,1.4,2,7,67
c0hRe9PCPPZs3HWFqhIQargNlp52,8,1.25,2,10,85
cC0BEsQjfrcuCyoaOas9zJT0MNs2,15,2.066666666666667,6,31,120
cEIs6U87xfbSL5eFTXDK77MmvNf1,8,1.375,3,11,101
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,8,1.125,2,9,116
cec6NLR2ZLVVw6h0TEKSNIH11v02,1,1.0,1,1,127
d9rwc0NXArcNlJvFsgKhQqkGxJq2,8,1.0,1,8,86
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,5,1.2,2,6,64
e7NIVznoeNMC7bBejXnMVvFNPfx1,5,1.6,3,8,72
fEq0OghbLpfD1jigl1Mbz96aMbg2,11,1.6363636363636365,4,18,87
foaW7wtvY3XLNdguFUK7OvOefP93,7,1.1428571428571428,2,8,76
g2G9l3no7RbeRA9a1W3JnfegTnh2,12,1.4166666666666667,3,17,99
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,4,1.0,1,4,70
h5RYP03wJuVN0xo7qAR8CKFxLaj1,7,1.2857142857142858,2,9,123
hrRr560eFBNwJ0CcUjCqtSD8TdP2,6,1.3333333333333333,2,8,86
i1tBstVkNiVP0qro7TgGD08IGGa2,6,1.3333333333333333,2,8,79
iKVZi0Oo96UrMBhPQMHWFcf55uA3,4,1.0,1,4,67
iWsc4pghIEWOQUZKuQJMfe516UI3,6,1.0,1,6,79
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,13,1.1538461538461537,3,15,97
idP8RVfm74N86O0dszLXANIpjXv2,5,1.0,1,5,73
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,8,1.125,2,9,75
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,2,1.0,1,2,62
jzdk8E3tVXTXIozlfK5oeEb7wWp2,6,1.3333333333333333,3,8,78
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,5,1.2,2,6,97
kI0YdycDU0X5hcoEPjEON3Ionyd2,7,1.4285714285714286,3,10,84
kR2rCtaPyPaj7YMizKUDn5xL2qx1,7,1.4285714285714286,3,10,83
kgSRatooJJfDaMZ2yIURqb8aJuE3,2,1.0,1,2,66
kxerHPSL3bQjD74HhiebYf3blPr1,16,1.5625,5,25,115
lHDkoPQu5reNCO45npeYSS9eLQl1,10,1.6,3,16,108
lpzDdvuMkKWkPxu6xeclmdctEp42,7,1.2857142857142858,2,9,83
m69r9GQTk2b51mvxrFLt4fZeJi52,7,1.2857142857142858,2,9,81
mUZzgdWKnPb2txOkJg9FHgqX5792,6,2.5,3,15,103
mg2WZiRBn4NQDKiMK43Y8dBqyG53,8,1.5,2,12,123
mweMgSlGM2VxThhwnupYxYzUbR23,4,1.5,2,6,80
mwsliuPsLFhRFjtjQwYkqcCRDvi2,5,1.4,2,7,70
nT1qJOiMyDdJ9ui4el195A8Hsgs1,5,1.0,1,5,70
ohl9pXqpeSMfepC3w9h0tW5SbJw1,6,1.1666666666666667,2,7,72
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,8,1.75,4,14,82
pRQimOpZtsekBI2I1kbnD3pycmo1,5,1.6,3,8,73
pcbRW89vVJcviD87V3uxyG4I9st2,2,1.0,1,2,69
q0Atnpm0jZS5swcVmq0EMalQUKw1,5,1.0,1,5,71
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,7,1.5714285714285714,2,11,127
qnR5PLX1v3fPi6SwTJMwGcadwyD3,9,1.3333333333333333,2,12,82
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,6,1.0,1,6,74
rFV2EUbp64f5ORSh7DqwmCQmeqT2,7,1.4285714285714286,3,10,90
rNe3cRPepZUXbJhmmfQZiGsVzX22,10,1.0,1,10,109
rUuJv5gl7dWVo7UPQWMx4bohxhK2,7,1.1428571428571428,2,8,86
ric6cNjG25XmZJCiKZDOxzeezao1,9,2.0,9,18,100
