outcome,term,beta,p,n
mean_burst_length,UCLA,-0.053532382308803736,0.11098307916439269,171
mean_burst_length,Male,-0.10006403573600661,0.025973993805707023,171
mean_burst_length,UCLA x Male,0.0340150242606725,0.35898852406323656,171
max_burst_length,UCLA,-0.20276750888764736,0.10242264634153934,171
max_burst_length,Male,-0.253337426864305,0.15374803212339522,171
max_burst_length,UCLA x Male,0.1766286670571795,0.24343358547308003,171
n_bursts,UCLA,-0.16612817453509243,0.7281561306915196,171
n_bursts,Male,-0.15851762040157644,0.796083832871915,171
n_bursts,UCLA x Male,0.16482565226207144,0.7605722661979475,171
mean_burst_length,UCLA_corr_Female,-0.14316005527676331,0.14319419398577451,106
mean_burst_length,UCLA_corr_Male,-0.048721956453724714,0.6999290525490773,65
