participant_id,rt_post_negative,rt_post_positive,rt_feedback_sensitivity,acc_post_negative,acc_post_positive,acc_feedback_sensitivity,adaptive_index,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,1866.423076924223,909.4205882336726,957.0024886905505,53.84615384615385,89.70588235294117,-35.85972850678733,-45.429753393692835,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1845.9909090909007,1104.1492307692445,741.8416783216562,72.72727272727273,87.6923076923077,-14.96503496503496,-22.383451748251524,77
0d841i8KPjdjwCYfDuUUXj0SEjH2,2702.4499999284744,1552.852542408442,1149.5974575200323,62.5,93.22033898305084,-30.720338983050837,-42.21631355825116,68
0oa5NYVnIBS9NmrmRAZrahXDctP2,1545.3199999973178,807.3887096780443,737.9312903192736,80.0,88.70967741935483,-8.709677419354833,-16.088990322547566,73
146QT9LupyU2BAiTsB3PMIpVXM22,1390.0999999990065,1091.629850746758,298.4701492522486,88.88888888888889,88.05970149253731,0.8291873963515712,-2.1555140961709145,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,4717.777777777777,1582.450847457021,3135.326930320756,66.66666666666666,91.52542372881356,-24.858757062146907,-56.21202636535447,69
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,3277.349999988079,1678.998360665118,1598.351639322961,70.0,88.52459016393442,-18.52459016393442,-34.50810655716403,72
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,2052.8,1485.8337662328374,566.9662337671627,90.0,89.6103896103896,0.3896103896103966,-5.280051948061231,88
23AEyocWhqY955WHbxhHRSgQ1ms2,2102.683333332754,1258.092424242447,844.5909090903072,50.0,87.87878787878788,-37.878787878787875,-46.32469696969095,85
2h5FgHUEvBS1twD5DqbTIRrMm1f2,3884.145454544913,1680.6697368425757,2203.475717702337,54.54545454545454,84.21052631578947,-29.665071770334926,-51.6998289473583,99
2zDXvJKvjeejeOSNbtDbtSI5cdz1,2533.111111111525,1471.3147540984096,1061.7963570131155,66.66666666666666,90.1639344262295,-23.497267759562845,-34.115231329694,71
3WijiOiVCoMbn80F05SPYsxl0TC2,2481.212500013411,1249.601587303101,1231.61091271031,50.0,88.88888888888889,-38.888888888888886,-51.20499801599199,80
3xCaqfcHxRQxuOlEzXz3PNcHODH2,1745.1200000017882,1264.650793652686,480.46920634910225,80.0,93.65079365079364,-13.650793650793645,-18.455485714284666,69
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,2619.566666666651,1101.3541666666633,1518.2124999999878,100.0,88.88888888888889,11.111111111111114,-4.071013888888764,82
5OOi73igsahMZ5IVKQwwyhnj4Cn2,2432.5857142857276,1723.5822580644951,709.0034562212325,85.71428571428571,91.93548387096774,-6.221198156682036,-13.31123271889436,70
5rXSa3anB5ejmFrnwUsTB82byup1,1098.1090909090656,905.6767123287786,192.43237858028692,81.81818181818183,87.67123287671232,-5.853051058530497,-7.777374844333366,85
5zxa5CMLGQSSonWOXqXf0QNS3PH3,1762.6615384542024,1146.2465753489978,616.4149631052046,84.61538461538461,86.3013698630137,-1.685985247629091,-7.850134878681137,87
62fAfeQc27bZelkPX7G54T3gvci2,5786.637500000186,1445.3409836065848,4341.296516393601,100.0,88.52459016393442,11.47540983606558,-31.937555327870434,70
6ABZuv4jbjgE0B8TeyUk6nwVb122,2980.9799999713896,1807.993506505892,1172.9864934654977,80.0,89.6103896103896,-9.610389610389603,-21.34025454504458,88
