participant_id,n_rule_changes,post_switch_error_rate,avg_trials_to_criterion
06qcrpGKL6Vc3LVplFQC90VAcRm1,5,0.36,2.0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,5,0.4,3.4
0d841i8KPjdjwCYfDuUUXj0SEjH2,5,0.19999999999999998,1.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,5,0.31999999999999995,2.0
146QT9LupyU2BAiTsB3PMIpVXM22,5,0.31999999999999995,3.4
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,5,0.31999999999999995,1.6
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5,0.27999999999999997,1.4
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,5,0.23999999999999994,3.6
23AEyocWhqY955WHbxhHRSgQ1ms2,5,0.52,4.8
2h5FgHUEvBS1twD5DqbTIRrMm1f2,5,0.5199999999999999,4.2
2zDXvJKvjeejeOSNbtDbtSI5cdz1,5,0.32,1.8
3WijiOiVCoMbn80F05SPYsxl0TC2,5,0.43999999999999995,3.2
3xCaqfcHxRQxuOlEzXz3PNcHODH2,5,0.12,1.4
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,5,0.27999999999999997,2.2
5OOi73igsahMZ5IVKQwwyhnj4Cn2,5,0.15999999999999998,1.8
5rXSa3anB5ejmFrnwUsTB82byup1,5,0.27999999999999997,3.2
5zxa5CMLGQSSonWOXqXf0QNS3PH3,5,0.31999999999999995,4.6
62fAfeQc27bZelkPX7G54T3gvci2,5,0.23999999999999994,1.4
6ABZuv4jbjgE0B8TeyUk6nwVb122,5,0.23999999999999994,1.6
6WFCyGwk71XLPBmbe4Vav3eotVm1,5,0.27999999999999997,1.8
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,5,0.27999999999999997,2.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,5,0.27999999999999997,1.6
87w5Le0CgZhSfYAaOH3Xd2fc98l1,5,0.44000000000000006,6.6
8bwaafIhKVMNBoHaXFcY8HirS9u2,5,0.19999999999999998,2.6
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,5,0.27999999999999997,2.0
8mscvscxtXf7EbbLqCyy4a4pl2q2,5,0.32,2.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,5,0.32,1.6
9l7DjYLs0XdgwykPZR5E01KTZfu2,5,0.27999999999999997,1.4
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,5,0.36,2.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,5,0.32,2.4
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,5,0.5199999999999999,3.4
AsXBOflrszVNKoFqbN61bMJqS0k2,5,0.5199999999999999,6.4
AyAnuCaltBbpEYbudoyNzTvXlcC2,5,0.44000000000000006,4.0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,1,,
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,5,0.31999999999999995,2.8
CDEoAyvS8feXLKMKsaZah9agEhF3,5,0.23999999999999994,1.6
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,5,0.44000000000000006,5.0
CUNlBEszJVRGK1jWlTaOaCqpDg53,5,0.48,3.2
Cbkx2NHyF3NrebzXGqNgSfiWent1,5,0.27999999999999997,1.6
Co587hoelyeANqFX7AYvuVQW0lZ2,5,0.32,1.8
CtJe4bZZnYUBNrcPk00d3YQFSGp2,5,0.52,3.4
DAKDKPH698P12JfTbbjemLI6PIH2,5,0.27999999999999997,1.8
DPvStUYSmohmXwFwaKRqHv89R3k1,5,0.11999999999999997,0.6
DaRehVxIOhXtEtUExdgvUl0mKcx2,4,0.6,27.0
Df83JuPuJkXqTGbENhM2gw5SJM43,5,0.32,2.0
DzB19GqCB7fyrlEPexogWkjFzEx2,5,0.32,2.8
EEodWwGh0wWq5f8JmzfKvq0lyeu1,5,0.4,3.8
EUhcW9kURScie1DwGPHqmNqotJB2,3,0.6666666666666666,17.0
EmfmKFDgWJdW47a6CNTNjnbYaPh2,5,0.27999999999999997,1.8
EoToosG69XMp4LTYdB6sB9WTrv22,5,0.039999999999999994,0.6
Fz7EUjZCLuUBxLDUVtN6djaBTy42,5,0.36,2.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,5,0.4,10.6
G9VruXninjUdE9czK2DambZl5li2,5,0.48,4.6
GDZGRW51kbWtAdUIHCtEd8sAtqY2,5,0.44000000000000006,2.6
GE4hogtdLdTFbNasENgtm6SO3hC3,5,0.19999999999999998,1.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,5,0.2799999999999999,1.8
HSggdq91WiQp16bOj7V3dABkcgk2,5,0.27999999999999997,2.6
HbydnnT1hUP3WagAy2TJAc6GqVs2,5,0.11999999999999997,1.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,5,0.27999999999999997,2.0
IaTJhUGICmO9xcL3605RW8QHneN2,5,0.39999999999999997,2.2
JntnHLHjYhc0xJJQALM3h9R5Ozv1,5,0.4,2.6
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,5,0.0,0.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,5,0.27999999999999997,2.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,5,0.44000000000000006,2.6
LSLmd8jENtONZFVkIpRDX665Bu73,5,0.4,4.2
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,5,0.27999999999999997,1.8
LliUMEIsrCVZ88YFQfevan2Og4z1,5,0.31999999999999995,7.4
M4Km1Q2P2oPliChDQkwl6k20FUI3,5,0.48,3.8
MMSYeiMQi3gMr4PrXQcpXzFiegj2,5,0.31999999999999995,8.6
O61Eik2zvrSQLMNpFbTNEgjWwMr2,5,0.27999999999999997,2.6
OExlWyngGfPrScDYjaRcv5PIAet1,5,0.11999999999999997,1.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,5,0.6399999999999999,3.6
ORvIk1xRWIQmKuLVe6GXNouvAXx2,5,0.36,4.4
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,5,0.2799999999999999,1.6
PLreonkqaMeFc0UqxKUelH44UQu1,5,0.43999999999999995,6.8
PkpTH7pWpEOG9A86xSloOSozwTk2,2,0.6000000000000001,68.0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,5,0.36,2.6
QbOEVCaZLUMOgltUdXm58oZOALv2,5,0.43999999999999995,5.4
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,5,0.31999999999999995,1.8
QreA2rLiUhV3YHeMfuHMPdGbpJ53,5,0.44000000000000006,2.8
Qv0jhW3sqicqQvd7LfReAsI7nD73,5,0.31999999999999995,2.4
Rc706mP0TSeIoIpMYH1SpRXjOxA2,5,0.039999999999999994,0.2
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,5,0.31999999999999995,2.2
Ru3Qf6pXZua1DfNkQdhbor6iJ403,5,0.44000000000000006,3.8
SOhR7IO689NQCPQu56SjATO8FR92,5,0.44000000000000006,5.8
SPCT9D90pRa1ihXS5jEw6vCmquI3,5,0.4,3.4
SdDjNMBD2ZMTEwUphkohi2cZwUx1,5,0.32,2.2
SpSfX0ZcfcPLdlOENlfdfvEPwru2,5,0.31999999999999995,2.2
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,5,0.32,2.8
Ub7nV8F55kPruh35ZpUcKoBUyn63,5,0.36,3.2
UbwuSMtBsHdW3Ji41opk3GInMqi2,5,0.23999999999999994,2.6
VwTymW8T68MfpnJvZ2X97ILqDWS2,5,0.4,2.6
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,5,0.15999999999999998,1.0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,5,0.36,2.4
WcTsIpSoEhYeIBSNjAbbdaNSBya2,5,0.5599999999999999,4.4
WeHQDy9BWldTlaQDVVlsJNCqwxA2,5,0.44000000000000006,6.4
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,5,0.36,1.8
WnC6Uscb5VMIr43GASKiUCO3AYH2,5,0.23999999999999994,1.4
WqoZv41KTtTCuPKBPyClregrKAi1,5,0.2,2.8
XehZHBpwr5MYzUXkj0FAYCsFG922,5,0.64,10.0
YEU5ox3jteVINfdSTg5ymqYcS9o2,5,0.15999999999999998,1.0
Yco8O7tmHlbsUBfKW2ywcZByGO32,5,0.11999999999999997,1.2
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,5,0.27999999999999997,2.4
aM2995jJmJWvr6cneaGH58HauIg2,5,0.4,3.0
afdTz6deeYWf1qKNdUpKAYKN3hz1,3,0.7999999999999999,9.0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,5,0.43999999999999995,4.4
azdL1gX79EVd9iepyCAVQrqIaQF3,5,0.36,2.4
bXpFswkI7TfIfL6G4FqWrbaxTGx2,5,0.27999999999999997,3.4
biQ16yPcCKSkJQhSxUKcDc8gm8I2,4,0.4,16.25
btpcu1rB1JeSTo2upeHGPdv8kYG3,5,0.31999999999999995,1.8
c0hRe9PCPPZs3HWFqhIQargNlp52,5,0.48,3.0
cC0BEsQjfrcuCyoaOas9zJT0MNs2,5,0.68,7.8
cEIs6U87xfbSL5eFTXDK77MmvNf1,5,0.27999999999999997,2.2
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,5,0.19999999999999998,1.4
cec6NLR2ZLVVw6h0TEKSNIH11v02,1,0.19999999999999996,8.0
d9rwc0NXArcNlJvFsgKhQqkGxJq2,5,0.36,2.2
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,5,0.4,2.4
e7NIVznoeNMC7bBejXnMVvFNPfx1,5,0.4800000000000001,2.6
fEq0OghbLpfD1jigl1Mbz96aMbg2,5,0.48,5.6
foaW7wtvY3XLNdguFUK7OvOefP93,5,0.27999999999999997,2.8
g2G9l3no7RbeRA9a1W3JnfegTnh2,5,0.4,8.2
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,5,0.24,1.6
h5RYP03wJuVN0xo7qAR8CKFxLaj1,5,0.4,4.0
hrRr560eFBNwJ0CcUjCqtSD8TdP2,5,0.32,1.8
i1tBstVkNiVP0qro7TgGD08IGGa2,5,0.36,3.0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,5,0.24,1.2
iWsc4pghIEWOQUZKuQJMfe516UI3,5,0.27999999999999997,2.0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,5,0.48,12.0
idP8RVfm74N86O0dszLXANIpjXv2,5,0.2799999999999999,2.2
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,5,0.4800000000000001,3.6
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,5,0.12,0.6
jzdk8E3tVXTXIozlfK5oeEb7wWp2,5,0.2799999999999999,1.6
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,5,0.2,2.2
kI0YdycDU0X5hcoEPjEON3Ionyd2,5,0.36,2.6
kR2rCtaPyPaj7YMizKUDn5xL2qx1,5,0.44000000000000006,2.6
kgSRatooJJfDaMZ2yIURqb8aJuE3,5,0.16,1.0
kxerHPSL3bQjD74HhiebYf3blPr1,2,0.8,11.0
lHDkoPQu5reNCO45npeYSS9eLQl1,5,0.5599999999999999,5.8
lpzDdvuMkKWkPxu6xeclmdctEp42,5,0.4,2.2
m69r9GQTk2b51mvxrFLt4fZeJi52,5,0.31999999999999995,2.2
mUZzgdWKnPb2txOkJg9FHgqX5792,5,0.5200000000000001,4.2
mg2WZiRBn4NQDKiMK43Y8dBqyG53,5,0.4,6.4
mweMgSlGM2VxThhwnupYxYzUbR23,5,0.24,2.6
mwsliuPsLFhRFjtjQwYkqcCRDvi2,5,0.31999999999999995,1.6
nT1qJOiMyDdJ9ui4el195A8Hsgs1,5,0.19999999999999996,1.2
