participant_id,ucla_total,gender_male,post_error_slowing,post_error_accuracy,post_correct_accuracy,n_post_error_trials
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,32.0,0,1598.351639322961,70.0,88.52459016393442,10
2h5FgHUEvBS1twD5DqbTIRrMm1f2,65.0,1,2203.475717702337,54.54545454545454,84.21052631578947,22
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,50.0,0,1518.2124999999878,100.0,88.88888888888889,9
5zxa5CMLGQSSonWOXqXf0QNS3PH3,54.0,1,616.4149631052046,84.61538461538461,86.3013698630137,13
62fAfeQc27bZelkPX7G54T3gvci2,49.0,0,4341.296516393601,100.0,88.52459016393442,8
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,57.0,0,493.3920634994431,58.333333333333336,88.88888888888889,12
80UJMJbCOMgs6YVpsMgXfYTzw6o2,56.0,0,747.9700000000498,60.0,91.66666666666666,10
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,42.0,0,888.323602485854,35.714285714285715,86.95652173913044,28
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,38.0,1,912.9474038633016,56.25,86.15384615384616,16
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,25.0,0,2030.849931589218,55.00000000000001,84.93150684931507,20
AsXBOflrszVNKoFqbN61bMJqS0k2,42.0,0,335.79571429973544,60.0,85.71428571428571,20
AyAnuCaltBbpEYbudoyNzTvXlcC2,62.0,0,2169.036742084193,65.38461538461539,81.17647058823529,26
CDEoAyvS8feXLKMKsaZah9agEhF3,33.0,0,7448.190983606657,100.0,90.1639344262295,6
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,30.0,1,727.465714291164,50.0,87.14285714285714,20
CtJe4bZZnYUBNrcPk00d3YQFSGp2,45.0,0,264.96954365075567,50.0,87.3015873015873,16
DPvStUYSmohmXwFwaKRqHv89R3k1,52.0,1,1457.0847457431805,100.0,94.91525423728814,3
DzB19GqCB7fyrlEPexogWkjFzEx2,25.0,0,699.0615384615382,53.84615384615385,90.76923076923077,13
EUhcW9kURScie1DwGPHqmNqotJB2,36.0,0,270.334674906989,43.13725490196079,71.05263157894737,51
Fz7EUjZCLuUBxLDUVtN6djaBTy42,49.0,1,1111.5158385204973,64.28571428571429,88.40579710144928,14
GDZGRW51kbWtAdUIHCtEd8sAtqY2,26.0,0,809.6848958643773,38.88888888888889,90.625,18
GE4hogtdLdTFbNasENgtm6SO3hC3,56.0,0,739.9987893497107,57.14285714285714,94.91525423728814,7
HyQM2xKwwuVfqidmRYF6TiRk90C2,21.0,1,1145.109722222305,80.0,88.88888888888889,10
K26uNuY0VNPjJNF26wEx3bFg0kr2,43.0,0,794.8235023040615,71.42857142857143,91.93548387096774,7
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,39.0,0,3200.4117647058724,50.0,82.35294117647058,24
