Variable,Gender,r,p,N
wcst_max_chain,Female,-0.24943187890815824,0.09087242203662398,47
wcst_max_chain,Male,0.11308499831299468,0.5447109774859719,31
wcst_cascade_prop,Female,-0.3886485026025401,0.0069395440436642,47
wcst_cascade_prop,Male,0.04686252227185821,0.802328620773191,31
stroop_max_chain,Female,-0.06062217385759052,0.6694383295959936,52
stroop_max_chain,Male,-0.06808632037296851,0.7065583382905013,33
stroop_cascade_prop,Female,0.07668800216594117,0.5889495766089456,52
stroop_cascade_prop,Male,-0.2880249246080124,0.10406982951771984,33
prp_max_chain,Female,0.11986920183059183,0.40701351574637135,50
prp_max_chain,Male,0.17020019062609842,0.3516923778127188,32
prp_cascade_prop,Female,0.11957790207984392,0.40816279767380925,50
prp_cascade_prop,Male,0.20077204604977697,0.27054075664659294,32
