component,strata,gender,n,ucla_pe_r,ucla_pe_p,ucla_beta,ucla_beta_p
Depression,Low,Male,16,0.4937080967573879,0.05194776126848272,4.110476919294052,0.05538743397176734
Depression,Low,Female,25,0.22527294910049678,0.27894525609555987,1.6554736842152868,0.21362349957638144
Depression,High,Male,14,0.07866196842327246,0.7892393799889931,0.31779856938564377,0.8099495527484475
Depression,High,Female,25,-0.10466519447898613,0.6185510845994782,-0.8021692714363874,0.6180857155599183
Anxiety,Low,Male,16,0.48360020805503556,0.05771581607638594,3.196578441148251,0.07277649752728495
Anxiety,Low,Female,27,-0.09179625455730547,0.6488355219917359,-0.46065412215288787,0.5339543590589373
Anxiety,High,Male,14,0.36291986551528055,0.20218688953680855,1.171126785759892,0.45239399480279263
Anxiety,High,Female,23,-0.2665210149382337,0.21896112059582587,-2.7512369088780346,0.21399269217951378
Stress,Low,Male,13,0.1519677590500022,0.6201673462433666,1.1791394153538035,0.6339779117683433
Stress,Low,Female,28,0.0014456590222780633,0.9941747563500354,-0.06858209109231972,0.9500473167855457
Stress,High,Male,17,0.37351045364245883,0.13973241271075967,1.4991784582141316,0.14376841624367048
Stress,High,Female,22,-0.4901747016725361,0.020563924787656992,-3.0879950909720577,0.03435289023342882
