outcome,spec,term,estimate,std_error,z,P>|z|,conf_low,conf_high
Stroop interference (ms),dep_only,z_dass_dep,-6.323395713661919,9.608922640201861,-0.6580754107860192,0.5104896753492436,-25.156538018689098,12.509746591365257
Stroop interference (ms),anx_only,z_dass_anx,5.994340058975525,11.114497751949198,0.5393262199296655,0.5896617799327859,-15.789675241096301,27.77835535904735
Stroop interference (ms),str_only,z_dass_stress,-4.13359307140438,11.39915954401338,-0.36262261752229474,0.7168868123576371,-26.47553523169663,18.208349088887868
Stroop interference (ms),all_three,z_dass_dep,-12.034839569827493,10.183714550386833,-1.1817730662305677,0.2372957575129706,-31.994553317422195,7.924874177767208
Stroop interference (ms),all_three,z_dass_anx,21.378195890564378,15.01263304256973,1.4240137509485842,0.154442491524519,-8.046024185988266,50.80241596711702
Stroop interference (ms),all_three,z_dass_stress,-12.022740328106151,13.705471651571438,-0.8772219325066168,0.38036610548791605,-38.88497115632086,14.839490500108559
PRP bottleneck (ms),dep_only,z_dass_dep,8.684353238742725,16.97001446494848,0.5117469555892384,0.6088281187551301,-24.576263929680053,41.9449704071655
PRP bottleneck (ms),anx_only,z_dass_anx,9.816845240234828,19.882174141268898,0.49375109434628,0.6214819758033807,-29.151500011005787,48.78519049147544
PRP bottleneck (ms),str_only,z_dass_stress,24.82577133057213,17.42395114934202,1.4248072161009029,0.15421293582852225,-9.324545390523511,58.97608805166777
PRP bottleneck (ms),all_three,z_dass_dep,-4.43199467704523,24.99025027296357,-0.17734895123639927,0.8592343026167137,-53.411985176696085,44.54799582260562
PRP bottleneck (ms),all_three,z_dass_anx,-12.273526366547438,28.23264002706355,-0.4347282561879494,0.6637596859269105,-67.60848400807593,43.06143127498106
PRP bottleneck (ms),all_three,z_dass_stress,35.72085192428879,29.34052952514034,1.2174576431444937,0.2234301427513149,-21.78552923232037,93.22723308089795
WCST total errors,dep_only,z_dass_dep,-2.1370080289396003,1.2707650421280194,-1.6816704568461947,0.09263275983741108,-4.627661744323043,0.3536456864438424
WCST total errors,anx_only,z_dass_anx,-2.1154221128553283,1.3939002996113223,-1.5176279920774796,0.12910820610235532,-4.847416498133111,0.616572272422454
WCST total errors,str_only,z_dass_stress,-1.4580145621348755,1.7244144128635708,-0.8455128600518304,0.3978245555851133,-4.8378047057692575,1.9217755814995066
WCST total errors,all_three,z_dass_dep,-1.5437942922242105,1.6160084916549717,-0.9553132302189786,0.33941931889244614,-4.711112734578852,1.6235241501304307
WCST total errors,all_three,z_dass_anx,-1.5823464862091376,1.8919049009111943,-0.8363773916157389,0.4029426272726814,-5.290411954169898,2.125718981751623
WCST total errors,all_three,z_dass_stress,0.5576903507559647,2.309862297744693,0.24143878676251967,0.8092150542353471,-3.9695565620705686,5.084937263582498
Latent meta-control,dep_only,z_dass_dep,-0.1307436996985667,0.11163952990998,-1.1711237032616606,0.24154905744511612,-0.3495531575731096,0.08806575817597623
Latent meta-control,anx_only,z_dass_anx,-0.0029039895641005888,0.1421497575458717,-0.020429085594208432,0.9837010817398478,-0.2815123947651099,0.27570441563690873
Latent meta-control,str_only,z_dass_stress,-0.032002465100744046,0.1354728571067742,-0.23622787460310962,0.8132558507094285,-0.2975243859127626,0.23351945571127447
Latent meta-control,all_three,z_dass_dep,-0.1982856665819376,0.12779244397827488,-1.5516227752530252,0.1207525103404044,-0.4487542542757089,0.052182921111833674
Latent meta-control,all_three,z_dass_anx,0.11413358882326632,0.20382405683884225,0.5599613244549854,0.5755058182472259,-0.2853542217637094,0.513621399410242
Latent meta-control,all_three,z_dass_stress,0.003915824950311631,0.19563373057067093,0.020016103250134944,0.9840305266030538,-0.379519241129416,0.3873508910300392
