participant_id,ucla_total,gender,age,pe_run_length,pe_max_run,pe_num_runs,npe_run_length,npe_max_run,npe_num_runs,error_run_length,error_max_run,error_num_runs,p_error_given_error,p_error_given_correct,cascade_tendency,n_trials,gender_coded,z_ucla,z_age,ucla_x_gender
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,32.0,female,23,1.2,2,5,1.3333333333333333,2,3,1.4285714285714286,2,7,0.3,0.11475409836065574,0.18524590163934423,72,-1,-0.7982827329653127,1.2973999066504025,0.7982827329653127
2h5FgHUEvBS1twD5DqbTIRrMm1f2,65.0,male,23,1.0833333333333333,2,12,1.125,2,8,1.8333333333333333,5,12,0.45454545454545453,0.15789473684210525,0.2966507177033493,99,1,1.89799172609595,1.2973999066504025,1.89799172609595
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,50.0,female,19,1.0,1,7,1.0,1,2,1.0,1,9,0.0,0.1111111111111111,-0.1111111111111111,82,-1,0.6724124265226488,-0.671986618316361,-0.6724124265226488
5zxa5CMLGQSSonWOXqXf0QNS3PH3,54.0,male,19,1.0,1,7,1.0,1,6,1.1818181818181819,2,11,0.15384615384615385,0.136986301369863,0.01685985247629085,87,1,0.9992335730755291,-0.671986618316361,0.9992335730755291
62fAfeQc27bZelkPX7G54T3gvci2,49.0,female,26,1.0,1,6,1.0,1,2,1.0,1,8,0.0,0.11475409836065574,-0.11475409836065574,70,-1,0.5907071398844287,2.774439800375475,-0.5907071398844287
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,57.0,female,20,1.2,2,5,3.0,5,2,1.7142857142857142,5,7,0.4166666666666667,0.1111111111111111,0.3055555555555556,76,-1,1.2443494329901894,-0.17963998707467013,-1.2443494329901894
80UJMJbCOMgs6YVpsMgXfYTzw6o2,56.0,female,20,1.0,1,5,1.6666666666666667,3,3,1.6666666666666667,3,6,0.4,0.08333333333333333,0.3166666666666667,71,-1,1.1626441463519692,-0.17963998707467013,-1.1626441463519692
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,42.0,female,20,1.2,2,5,3.6666666666666665,7,6,2.8,7,10,0.6428571428571429,0.13043478260869565,0.5124223602484472,98,-1,0.018770133416888116,-0.17963998707467013,-0.018770133416888116
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,38.0,male,21,1.5,3,6,2.3333333333333335,4,3,1.7777777777777777,4,9,0.4375,0.13846153846153847,0.29903846153846153,82,1,-0.3080510131359922,0.3127066441670207,-0.3080510131359922
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,25.0,female,21,1.4285714285714286,2,7,1.4285714285714286,3,7,1.8181818181818181,6,11,0.45,0.1506849315068493,0.2993150684931507,94,-1,-1.3702197394328532,0.3127066441670207,1.3702197394328532
AsXBOflrszVNKoFqbN61bMJqS0k2,42.0,female,19,1.7272727272727273,5,11,1.0,1,1,1.6666666666666667,5,12,0.4,0.14285714285714285,0.2571428571428572,105,-1,0.018770133416888116,-0.671986618316361,-0.018770133416888116
AyAnuCaltBbpEYbudoyNzTvXlcC2,62.0,female,22,1.1818181818181819,2,11,1.4444444444444444,3,9,1.5294117647058822,5,17,0.34615384615384615,0.18823529411764706,0.1579185520361991,112,-1,1.6528758661812897,0.8050532754087116,-1.6528758661812897
CDEoAyvS8feXLKMKsaZah9agEhF3,33.0,female,22,1.0,1,6,0.0,0,0,1.0,1,6,0.0,0.09836065573770492,-0.09836065573770492,68,-1,-0.7165774463270926,0.8050532754087116,0.7165774463270926
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,30.0,male,29,1.2222222222222223,2,9,1.5,3,6,2.0,4,10,0.5,0.12857142857142856,0.37142857142857144,91,1,-0.9616933062417529,4.2514796941005475,-0.9616933062417529
CtJe4bZZnYUBNrcPk00d3YQFSGp2,45.0,female,22,2.2,4,5,1.25,2,4,2.0,4,8,0.5,0.12698412698412698,0.373015873015873,80,-1,0.26388599333154833,0.8050532754087116,-0.26388599333154833
DPvStUYSmohmXwFwaKRqHv89R3k1,52.0,male,21,1.0,1,3,0.0,0,0,1.0,1,3,0.0,0.05084745762711865,-0.05084745762711865,63,1,0.8358229997990889,0.3127066441670207,0.8358229997990889
DzB19GqCB7fyrlEPexogWkjFzEx2,25.0,female,22,1.6,2,5,1.6666666666666667,2,3,1.8571428571428572,3,7,0.46153846153846156,0.09230769230769231,0.36923076923076925,79,-1,-1.3702197394328532,0.8050532754087116,1.3702197394328532
EUhcW9kURScie1DwGPHqmNqotJB2,36.0,female,19,1.9523809523809523,9,21,1.1111111111111112,2,9,2.3181818181818183,18,22,0.5686274509803921,0.2894736842105263,0.2791537667698658,128,-1,-0.47146158641243235,-0.671986618316361,0.47146158641243235
Fz7EUjZCLuUBxLDUVtN6djaBTy42,49.0,male,19,1.6666666666666667,3,6,1.3333333333333333,2,3,1.5555555555555556,3,9,0.35714285714285715,0.11594202898550725,0.2412008281573499,84,1,0.5907071398844287,-0.671986618316361,0.5907071398844287
GDZGRW51kbWtAdUIHCtEd8sAtqY2,26.0,female,21,2.0,3,5,2.6666666666666665,4,3,2.5714285714285716,4,7,0.6111111111111112,0.09375,0.5173611111111112,83,-1,-1.2885144527946333,0.3127066441670207,1.2885144527946333
GE4hogtdLdTFbNasENgtm6SO3hC3,56.0,female,19,1.0,1,3,1.3333333333333333,2,3,1.75,3,4,0.42857142857142855,0.05084745762711865,0.3777239709443099,67,-1,1.1626441463519692,-0.671986618316361,-1.1626441463519692
HyQM2xKwwuVfqidmRYF6TiRk90C2,21.0,male,19,1.0,1,7,1.0,1,3,1.25,3,8,0.2,0.1111111111111111,0.0888888888888889,83,1,-1.6970408859857335,-0.671986618316361,-1.6970408859857335
K26uNuY0VNPjJNF26wEx3bFg0kr2,43.0,female,19,1.4,2,5,0.0,0,0,1.4,2,5,0.2857142857142857,0.08064516129032258,0.20506912442396313,70,-1,0.10047542005510819,-0.671986618316361,-0.10047542005510819
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,39.0,female,22,1.0,1,7,1.7,3,10,2.0,3,12,0.5,0.17647058823529413,0.32352941176470584,93,-1,-0.22634572649777213,0.8050532754087116,0.22634572649777213
LSLmd8jENtONZFVkIpRDX665Bu73,20.0,female,19,1.5,2,6,1.2,2,5,1.5,2,10,0.3333333333333333,0.13636363636363635,0.19696969696969696,82,-1,-1.7787461726239537,-0.671986618316361,1.7787461726239537
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,34.0,male,18,1.0,1,6,1.0,1,2,1.0,1,8,0.0,0.12903225806451613,-0.12903225806451613,71,1,-0.6348721596888726,-1.1643332495580518,-0.6348721596888726
LliUMEIsrCVZ88YFQfevan2Og4z1,28.0,male,19,1.3,2,10,1.0,1,5,1.3846153846153846,2,13,0.2777777777777778,0.16666666666666666,0.11111111111111113,97,1,-1.125103879518193,-0.671986618316361,-1.125103879518193
ORvIk1xRWIQmKuLVe6GXNouvAXx2,54.0,female,24,1.3076923076923077,2,13,1.75,3,4,1.8461538461538463,5,13,0.4583333333333333,0.17105263157894737,0.2872807017543859,101,-1,0.9992335730755291,1.7897465378920934,-0.9992335730755291
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,49.0,male,19,1.0,1,6,1.0,1,4,1.4285714285714286,3,7,0.3,0.09523809523809523,0.20476190476190476,74,1,0.5907071398844287,-0.671986618316361,0.5907071398844287
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,64.0,male,24,1.1666666666666667,2,6,1.0,1,1,1.3333333333333333,2,6,0.25,0.1,0.15,69,1,1.8162864394577298,1.7897465378920934,1.8162864394577298
QreA2rLiUhV3YHeMfuHMPdGbpJ53,44.0,female,21,1.8333333333333333,5,6,2.5,5,4,2.1,5,10,0.5238095238095238,0.1232876712328767,0.40052185257664713,95,-1,0.18218070669332828,0.3127066441670207,-0.18218070669332828
Rc706mP0TSeIoIpMYH1SpRXjOxA2,46.0,female,23,1.0,1,1,0.0,0,0,1.0,1,1,0.0,0.01694915254237288,-0.01694915254237288,61,-1,0.34559127996976846,1.2973999066504025,-0.34559127996976846
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,49.0,female,19,1.0,1,6,1.0,1,1,1.0,1,7,0.0,0.0875,-0.0875,88,-1,0.5907071398844287,-0.671986618316361,-0.5907071398844287
WbOfW9KmUkPQK8o5hlHJnJFdpp92,22.0,male,19,1.2,2,5,1.375,4,8,1.7,4,10,0.4117647058823529,0.1125,0.29926470588235293,98,1,-1.6153355993475136,-0.671986618316361,-1.6153355993475136
WcTsIpSoEhYeIBSNjAbbdaNSBya2,30.0,female,19,1.625,2,8,1.1666666666666667,2,6,1.8181818181818181,4,11,0.45,0.1506849315068493,0.2993150684931507,94,-1,-0.9616933062417529,-0.671986618316361,0.9616933062417529
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,54.0,female,18,1.3,2,10,1.2222222222222223,2,9,1.411764705882353,2,17,0.2916666666666667,0.18085106382978725,0.11081560283687944,119,-1,0.9992335730755291,-1.1643332495580518,-0.9992335730755291
azdL1gX79EVd9iepyCAVQrqIaQF3,32.0,female,19,1.3333333333333333,2,6,1.0,1,4,1.3333333333333333,2,9,0.25,0.11764705882352941,0.1323529411764706,81,-1,-0.7982827329653127,-0.671986618316361,0.7982827329653127
cEIs6U87xfbSL5eFTXDK77MmvNf1,62.0,male,19,1.2222222222222223,2,9,1.0,1,5,1.6,4,10,0.375,0.10465116279069768,0.2703488372093023,103,1,1.6528758661812897,-0.671986618316361,1.6528758661812897
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,40.0,male,19,1.1111111111111112,2,9,1.0,1,7,1.2142857142857142,3,14,0.17647058823529413,0.13861386138613863,0.0378567268491555,119,1,-0.14464043985955205,-0.671986618316361,-0.14464043985955205
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,59.0,female,21,1.3333333333333333,2,6,1.0,1,3,1.5714285714285714,3,7,0.36363636363636365,0.09836065573770492,0.26527570789865873,73,-1,1.4077600062666296,0.3127066441670207,-1.4077600062666296
fEq0OghbLpfD1jigl1Mbz96aMbg2,31.0,female,19,1.7272727272727273,4,11,1.0,1,2,1.9090909090909092,4,11,0.47619047619047616,0.16666666666666666,0.30952380952380953,88,-1,-0.8799880196035328,-0.671986618316361,0.8799880196035328
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,60.0,female,22,1.0,1,4,1.3333333333333333,2,3,1.3333333333333333,2,6,0.25,0.09523809523809523,0.15476190476190477,72,-1,1.4894652929048495,0.8050532754087116,-1.4894652929048495
h5RYP03wJuVN0xo7qAR8CKFxLaj1,29.0,female,21,1.4285714285714286,3,7,2.4285714285714284,4,14,2.3157894736842106,5,19,0.5681818181818182,0.2222222222222222,0.345959595959596,126,-1,-1.043398592879973,0.3127066441670207,1.043398592879973
i1tBstVkNiVP0qro7TgGD08IGGa2,26.0,female,20,1.3333333333333333,2,6,1.5,2,2,1.375,2,8,0.2727272727272727,0.11764705882352941,0.1550802139037433,80,-1,-1.2885144527946333,-0.17963998707467013,1.2885144527946333
iKVZi0Oo96UrMBhPQMHWFcf55uA3,33.0,male,19,1.0,1,4,1.3333333333333333,2,3,1.6,2,5,0.375,0.06779661016949153,0.3072033898305085,68,1,-0.7165774463270926,-0.671986618316361,-0.7165774463270926
iWsc4pghIEWOQUZKuQJMfe516UI3,27.0,male,23,1.0,1,6,1.25,2,4,1.2222222222222223,2,9,0.18181818181818182,0.1323529411764706,0.04946524064171123,80,1,-1.206809166156413,1.2973999066504025,-1.206809166156413
