category,outcome,gender,n,r,p,beta,beta_p
TIME COSTS (Overall RT),WCST Mean RT,Female,47,0.07901123549512515,0.5975588374131837,1.7431643579029767,0.722678308455846
TIME COSTS (Overall RT),WCST Mean RT,Male,31,0.30249249956126284,0.09812672361520261,15.154315570419438,0.0992136271686851
TIME COSTS (Overall RT),Stroop Mean RT,Female,52,-0.08279676435606698,0.5595261253504549,-1.2120406925191163,0.5166517049370549
TIME COSTS (Overall RT),Stroop Mean RT,Male,33,0.16807890044270238,0.34979589785772375,3.0392270941683837,0.30707004590610887
TIME COSTS (Overall RT),PRP T2 Mean RT,Female,49,0.055053459065003675,0.7071318828621633,0.6934673633956921,0.7674814502678468
TIME COSTS (Overall RT),PRP T2 Mean RT,Male,32,0.5572445380303959,0.0009229927716880325,9.593603193986082,0.00039853509305944534
DEPLETION COSTS (Fatigue slopes),WCST Fatigue Slope,Female,47,-0.1723983155204789,0.24654642285513328,-0.1084632173988794,0.31026626912655897
DEPLETION COSTS (Fatigue slopes),WCST Fatigue Slope,Male,31,0.04192905865231653,0.8227916177253715,0.03468599138097761,0.8457998885233221
DEPLETION COSTS (Fatigue slopes),Stroop Fatigue Slope,Female,52,-0.24134978042368418,0.08476678995800557,-0.03418119658228843,0.08263439785679341
DEPLETION COSTS (Fatigue slopes),Stroop Fatigue Slope,Male,33,0.12089017321469867,0.5027632449424755,0.015396593177707411,0.5064957640558034
DEPLETION COSTS (Fatigue slopes),PRP Fatigue Slope,Female,49,0.0211804478059509,0.8851437126072168,0.010064364085160881,0.7882925313115083
DEPLETION COSTS (Fatigue slopes),PRP Fatigue Slope,Male,32,0.03874010359727061,0.8332720187833478,0.004251958635900886,0.8846111485431056
PSYCHOLOGICAL COSTS (DASS),DASS Total,Female,57,0.7168457239684548,3.5740790466761927e-10,0.9353516735393071,6.202692377254912e-10
PSYCHOLOGICAL COSTS (DASS),DASS Total,Male,32,0.7794066438193306,1.4710288903154527e-07,1.3960789775914642,2.1209308820723772e-07
PSYCHOLOGICAL COSTS (DASS),DASS Anxiety,Female,57,0.5472722953784469,1.056469071966708e-05,0.2506242445835488,1.3610873350551566e-05
PSYCHOLOGICAL COSTS (DASS),DASS Anxiety,Male,32,0.606952397656827,0.0002303779779716108,0.34555471249857617,0.0003079811353176333
PSYCHOLOGICAL COSTS (DASS),DASS Depression,Female,57,0.7351587161072641,7.431508658524878e-11,0.40972619416106576,1.422040994103949e-10
PSYCHOLOGICAL COSTS (DASS),DASS Depression,Male,32,0.7529364528125106,6.634073652072694e-07,0.5621726840646439,4.395685908643133e-07
PSYCHOLOGICAL COSTS (DASS),DASS Stress,Female,57,0.4837827290358524,0.00013757535119284482,0.27500123479469246,0.00016681256477546063
PSYCHOLOGICAL COSTS (DASS),DASS Stress,Male,32,0.7243494164484707,2.773348521513697e-06,0.48835158102824394,3.9790484110707526e-06
