outcome,low_female_mean,low_female_sd,low_female_n,low_male_mean,low_male_sd,low_male_n,high_female_mean,high_female_sd,high_female_n,high_male_mean,high_male_sd,high_male_n,cohen_d_high_male_vs_low_female
wcst_pe_rate,11.61749475033405,3.6664704788549383,16,8.816983897705546,3.4366085188979922,10,8.833216727668068,3.3096199053997273,18,10.427660410429949,3.0753478196391932,10,-0.3442144315940324
wcst_npe_rate,7.226524097688589,6.055996296516699,16,5.694709726195268,2.957136094875248,10,5.394138764554112,3.9697981238057474,18,5.884730416560376,4.7884758451586364,10,-0.2389952277833921
wcst_accuracy,81.15598115197736,5.9231435985233505,16,85.48830637609919,4.609172284880252,10,85.77264450777781,6.022796915481192,18,83.68760917300968,7.429327469571559,10,0.3877625566019075
wcst_rt_cv,0.7633137536742356,0.4342548526963599,16,0.8893500619006123,0.6457899698582241,10,0.8318064421237589,0.2829720946828372,18,0.8626003646901893,0.2706222220347665,10,0.26044819562365384
wcst_early_pe_rate,9.341804386574843,6.100103465299968,16,8.86890549064462,6.368435705093412,10,7.099493268658686,4.149948642048692,18,7.823862610329671,2.5511426038292364,10,-0.2994389602427489
wcst_late_pe_rate,11.898167158210022,4.837392301046029,16,7.176303386629473,4.374306638609395,10,8.81384163876251,4.264131890863413,18,9.671399976100567,3.4632945534448782,10,-0.5092081087093855
wcst_learning_improvement,-2.556362771635176,8.808013460448208,16,1.6926021040151475,7.976572262887505,10,-1.7143483701038253,5.092495130350153,18,-1.847537365770896,3.099236380330647,10,0.0982112903372381
stroop_cong_acc,99.67320261437908,1.3474201390907392,17,99.73262032085562,0.886798072287539,11,99.41520467836256,1.1634830785880463,19,99.44444444444444,1.1712139482105142,10,-0.17777724028126163
stroop_incong_acc,98.5200746965453,1.7417292716578303,17,98.4848484848485,2.27833203406868,11,97.80701754385966,3.535406276240953,19,97.49206349206348,3.3264394992917645,10,-0.42233207345094154
prp_short_t1_acc,96.32393927470653,3.8270122253281147,17,99.43181818181819,1.347228730589297,11,97.49062260263521,2.355925606642911,17,96.43617021276596,2.9704241254109807,10,0.031680549936195096
prp_short_t2_acc,98.77450980392156,1.6566796365926215,17,98.1060606060606,3.153281119434453,11,97.38720582100174,3.1632647583462106,17,98.31560283687944,1.661035159984237,10,-0.27674190235564416
prp_long_t1_acc,98.28431372549021,4.181957237929299,17,99.22595520421609,1.7226173106307938,11,97.30392156862746,2.924534206809246,17,98.75,2.0126912147485285,10,0.13092679655278666
