outcome,female_beta,female_pval,female_n,male_beta,male_pval,male_n,interaction_beta,interaction_pval,perm_pval,boot_ci_lower,boot_ci_upper,boot_pct_positive,total_n
prp_short_t1_acc,0.4252358558000706,0.5724620708891777,58,-1.6411623957706087,0.1311132884501828,33,-1.7237433174907792,0.03361904397600111,0.028,-3.4723638404535166,-0.4079009936872286,0.5,91
prp_short_t2_acc,-1.483681901682436,0.0066160170304805106,58,-1.3880359239906532,0.19991971831677577,33,0.34597226969086126,0.6181024045772306,0.58,-0.7851367923881105,1.6564068426265186,73.7,91
prp_long_t1_acc,-0.06939557743660885,0.9143868359590465,58,-0.04963191889670249,0.9254461027373236,33,0.23334059734847445,0.7008516273296024,0.806,-1.0997278146016265,1.4605371866039105,62.1,91
prp_long_t2_acc,-0.04224162051293323,0.9625646803679461,58,0.182435603998357,0.8398157691377977,33,-0.38298442327795246,0.6557781146204467,0.66,-2.061877881061278,1.2462082916454864,32.9,91
prp_t1_slowing,-14.409005528964968,0.7842029278658692,58,103.30343470299191,0.10412542004180163,33,24.7505845541108,0.6476622054422727,0.707,-94.29653740035644,162.3055175238838,67.0,91
prp_bottleneck,-0.6728813516523999,0.9830376718634322,58,57.41092230808902,0.08370895924541492,33,61.466292283611175,0.04869577289149313,0.082,2.411547566099843,132.18631678676178,98.2,91
prp_slope,0.0027905652853807937,0.9237089114621739,58,-0.0496257578326797,0.12287208318837471,33,-0.05495873052698222,0.06021551502623689,0.114,-0.12153369168304493,-0.005744062315235205,2.0,91
prp_reversal_rate,0.0,,58,0.0,,33,0.0,,1.0,0.0,0.0,0.0,91
prp_t1_t2_corr,0.0016739107361049138,0.9543501769585072,58,0.09237250701056976,0.026601174142455695,33,0.0527923440399532,0.10014777934586441,0.14,-0.014248473434473176,0.12342336780041889,94.0,91
prp_short_t2_cv,-0.00034310035653215,0.9817323988779818,58,0.02308626962213723,0.252097092668073,33,0.023181928400449484,0.13614273296653456,0.175,-0.004869093896044981,0.05886180588876768,94.1,91
prp_long_t2_cv,-0.017974355118283533,0.5607831413786702,58,0.08057243921812651,0.013795422442144269,33,0.06907303723659244,0.020315851837685073,0.029,0.00920187032596598,0.12217826107579673,99.1,91
