task,analysis,metric,gender,n,r,p,interpretation
Stroop,Learning Curves,Interference Slope,male,27,0.2513693363340618,0.2059525259303318,Positive = interference increases over time
Stroop,Learning Curves,Interference Slope,female,45,0.2923398811887988,0.0513317961250017,Positive = interference increases over time
PRP,Learning Curves,Bottleneck Slope,male,27,-0.1019172020396736,0.6129697364175581,Negative = bottleneck decreases (learning)
PRP,Learning Curves,Bottleneck Slope,female,44,0.2785121993513282,0.0671503767271963,Negative = bottleneck decreases (learning)
Stroop,Error Cascades,Max Error Run,male,27,0.0726460095397583,0.7187766529087941,Negative = shorter error runs (WCST pattern)
Stroop,Error Cascades,Max Slow Run,male,27,0.1958272179248359,0.327619277822676,Slow response clustering
Stroop,Error Cascades,Max Error Run,female,45,-0.1658427248687217,0.2762589878960576,Negative = shorter error runs (WCST pattern)
Stroop,Error Cascades,Max Slow Run,female,45,-0.1504383779691762,0.3239361580160868,Slow response clustering
PRP,Dual-Error Cascades,Max Dual-Error Run,male,27,-0.0065636243733701,0.9740796847975932,Coordination breakdown clustering
PRP,Dual-Error Cascades,Max T2-Error Run,male,27,0.2373729096728477,0.2331849803270924,T2-specific error clustering
PRP,Dual-Error Cascades,Max Dual-Error Run,female,45,0.0387772610407722,0.8003448277818692,Coordination breakdown clustering
PRP,Dual-Error Cascades,Max T2-Error Run,female,45,0.1371210856773773,0.3690763789349217,T2-specific error clustering
Stroop,RT Variability,Incongruent RT SD,male,27,0.0916004557062392,0.6495373086440259,Attentional inconsistency
Stroop,RT Variability,Incongruent RT SD,female,45,-0.0559605055186084,0.7150239580241412,Attentional inconsistency
PRP,RT Variability,T2 RT SD (short SOA),male,27,0.3177971831298354,0.1062286283874336,Coordination instability
PRP,RT Variability,T2 RT SD (long SOA),male,27,0.5190634476127525,0.0055316288886906,Baseline variability
PRP,RT Variability,T2 RT SD (short SOA),female,44,-0.0751683119087123,0.6277167312502905,Coordination instability
PRP,RT Variability,T2 RT SD (long SOA),female,44,-0.0344383448732656,0.8243703050259488,Baseline variability
Stroop,Gratton Effect,Adaptation Magnitude,male,27,-0.2658202348121548,0.1801989153032131,Negative = reduced conflict adaptation
Stroop,Gratton Effect,Adaptation Magnitude,female,45,-0.1251991000793514,0.4125246713139953,Negative = reduced conflict adaptation
