gender,condition,parameter,n,r,p,mean,sd
male,congruent,mu,27,0.2069567396243877,0.3003137675728591,613.2705351414553,154.50632438640685
male,congruent,sigma,27,0.0345670461399093,0.8640922427230193,91.99114849321901,64.74759786138215
male,congruent,tau,27,0.11387367847665028,0.5716988949466358,198.45205740733493,93.75817082441627
male,incongruent,mu,27,0.20214757270838316,0.3119327061232179,657.9101335363832,229.17775426721755
male,incongruent,sigma,27,0.08651334035405886,0.6678715007655845,125.16957072789725,107.2436040697852
male,incongruent,tau,27,0.0539628475805105,0.789218406923704,284.676819566912,111.47779752786865
female,congruent,mu,45,-0.07923660641307283,0.6048821702389893,712.1630247242028,143.52992394275907
female,congruent,sigma,45,-0.12036293235429658,0.4309496501020543,134.97203557604067,59.44072631700242
female,congruent,tau,45,-0.09346568111550624,0.5414097874469312,167.92375090077422,93.21718024935382
female,incongruent,mu,45,-0.1103162958472099,0.4706596845988342,802.6198352544701,161.22931515080145
female,incongruent,sigma,45,-0.17942719191578194,0.23825316468528732,180.12770141307314,69.65649709694611
female,incongruent,tau,45,-0.01830356505313756,0.9050069541652163,229.3206523747856,125.81792074781856
