feature,importance_mean,importance_std
stroop_effect,0.0,0.0
stroop_accuracy,0.0,0.0
mrt_incong,0.0,0.0
mrt_cong,0.0,0.0
mrt_total,0.0,0.0
prp_bottleneck,0.0,0.0
prp_rt_slope,0.0,0.0
prp_mrt_t1,0.0,0.0
prp_mrt_t2,0.0,0.0
prp_acc_t1,0.0,0.0
prp_acc_t2,0.0,0.0
wcst_total_errors,0.0,0.0
wcst_persev_errors,0.0,0.0
wcst_nonpersev_errors,0.0,0.0
wcst_conceptual_pct,0.0,0.0
wcst_persev_resp_pct,0.0,0.0
wcst_failure_to_maintain_set,0.0,0.0
prp_t2_cv_all,0.0,0.0
prp_t2_cv_short,0.0,0.0
prp_t2_cv_long,0.0006713286713286592,0.0004630194505523511
prp_t2_trials,0.0,0.0
stroop_post_error_slowing,0.0,0.0
stroop_post_error_rt,0.0,0.0
stroop_post_correct_rt,0.0,0.0
stroop_incong_slope,1.3986013986013734e-05,9.790209790209616e-05
stroop_trials,0.0,0.0
age,0.0,0.0
created_hour,5.5944055944054936e-05,0.0001897155240035006
ucla_duration,0.046237762237762235,0.01661844524564535
dass_duration,0.0,0.0
duration_prp,0.0,0.0
duration_stroop,0.0,0.0
duration_wcst,0.0,0.0
gender,0.0,0.0
education,0.0,0.0
courseName,0.0,0.0
professorName,0.0,0.0
classSection,0.0,0.0
created_dow,0.0,0.0
created_hour_bin,0.0,0.0
