hypothesis,description,status,term,nobs,estimate,p_value,conf_low,conf_high
G1,PRP 연습 정확도 자료 부재,데이터 부족,,,,,,
G2a,PRP 병목 ~ Loneliness,estimated,z_ucla,77.0,-16.90804167327175,0.5178603409520406,-68.79312617844424,34.97704283190075
G2b,PRP 병목 ~ DASS-Anxiety,estimated,z_dass_anx,77.0,-10.543593729203335,0.6715357138981257,-59.92566060212052,38.83847314371385
G3,Stroop 중립 조건/차이 자료 부재,데이터 부족,,,,,,
G4,WCST perseverative response % ~ Loneliness,estimated,z_ucla,74.0,0.06213824702914561,0.9553619804248852,-2.1453795109889353,2.2696560050472265
G5,WCST non-persev errors ~ PRP*Loneliness,estimated,prp_bottleneck:z_ucla,73.0,-0.00280207082647595,0.5961949669169229,-0.013313508122084653,0.007709366469132752
G6,PRP 병목 ~ Loneliness×Gender,estimated,z_ucla:C(gender)[T.male],77.0,34.09263215908263,0.33210751355877544,-35.539604503645286,103.72486882181056
G7,WCST conceptual % ~ Loneliness,estimated,z_ucla,74.0,-1.4016402453243293,0.5521173287745738,-6.0831278893017116,3.279847398653053
G8,Stroop RT 변동성 지표 부재,데이터 부족,,,,,,
G9a,PRP T1 RT ~ Loneliness,estimated,z_ucla,76.0,68.83804837378547,0.0753542012636468,-7.221750465774861,144.8978472133458
G9b,PRP SOA slope ~ Loneliness (T1 RT 통제),estimated,z_ucla,76.0,-0.010744202664115864,0.6492656733901323,-0.057678075753553895,0.036189670425322173
G10,PRP 병목 ~ Loneliness×DASS-Stress,estimated,z_ucla:z_dass_stress,77.0,-4.529016615323179,0.790824971015766,-38.461205992678735,29.403172762032376
