participant_id,gender,age,ucla_total,pe_rate,group,ucla_z,pe_z
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,female,23,32.0,8.333333333333332,Average,-0.7836381010041262,-0.4877927614103795
2h5FgHUEvBS1twD5DqbTIRrMm1f2,male,23,65.0,13.131313131313131,Vulnerable,1.876253510404165,0.5508870446865649
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,female,19,50.0,8.536585365853659,Average,0.6672118688549419,-0.4437922047978
5zxa5CMLGQSSonWOXqXf0QNS3PH3,male,19,54.0,8.045977011494253,Resilient,0.989622973268068,-0.550000444897129
62fAfeQc27bZelkPX7G54T3gvci2,female,26,49.0,8.571428571428571,Average,0.5866090927516603,-0.43624925223564376
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,female,20,57.0,7.894736842105263,Resilient,1.2314313015779128,-0.582741330942787
80UJMJbCOMgs6YVpsMgXfYTzw6o2,female,20,56.0,7.042253521126761,Resilient,1.150828525474631,-0.7672892548226777
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,female,20,42.0,6.122448979591836,Average,0.022389660028689386,-0.9664110608900668
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,male,21,38.0,10.975609756097562,Average,-0.30002144438443684,0.08421447455314986
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,female,21,25.0,10.638297872340424,Average,-1.347857533727097,0.011192274217379594
AsXBOflrszVNKoFqbN61bMJqS0k2,female,19,42.0,18.09523809523809,Average,0.022389660028689386,1.6254911147537785
AyAnuCaltBbpEYbudoyNzTvXlcC2,female,22,62.0,11.607142857142858,Average,1.6344451820943204,0.220930489742235
CDEoAyvS8feXLKMKsaZah9agEhF3,female,22,33.0,8.823529411764707,Average,-0.7030353249008446,-0.38167377193298235
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,male,29,30.0,12.087912087912088,Unexpected,-0.9448436532106893,0.32500872942198933
CtJe4bZZnYUBNrcPk00d3YQFSGp2,female,22,45.0,13.750000000000002,Average,0.2641979883385341,0.6848220723148555
DPvStUYSmohmXwFwaKRqHv89R3k1,male,21,52.0,4.761904761904762,Average,0.828417421061505,-1.2609453990314128
DzB19GqCB7fyrlEPexogWkjFzEx2,female,22,25.0,10.126582278481012,Average,-1.347857533727097,-0.09958531889180144
EUhcW9kURScie1DwGPHqmNqotJB2,female,19,36.0,32.03125,Average,-0.46122699659099997,4.642397136137521
Fz7EUjZCLuUBxLDUVtN6djaBTy42,male,19,49.0,11.904761904761903,Average,0.5866090927516603,0.28535987621065406
GDZGRW51kbWtAdUIHCtEd8sAtqY2,female,21,26.0,12.048192771084338,Unexpected,-1.2672547576238156,0.3164101829424229
GE4hogtdLdTFbNasENgtm6SO3hC3,female,19,56.0,4.477611940298507,Resilient,1.150828525474631,-1.3224898875982614
HyQM2xKwwuVfqidmRYF6TiRk90C2,male,19,21.0,8.433734939759036,Average,-1.6702686381402234,-0.46605754669814137
K26uNuY0VNPjJNF26wEx3bFg0kr2,female,19,43.0,10.0,Average,0.10299243613197094,-0.12698819718723026
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,female,22,39.0,7.526881720430108,Average,-0.21941866828115528,-0.6623756150667416
LSLmd8jENtONZFVkIpRDX665Bu73,female,19,20.0,10.975609756097562,Average,-1.750871414243505,0.08421447455314986
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,male,18,34.0,8.450704225352112,Average,-0.622432548797563,-0.4623839892819886
LliUMEIsrCVZ88YFQfevan2Og4z1,male,19,28.0,13.402061855670103,Unexpected,-1.1060492054172524,0.6094994699899193
ORvIk1xRWIQmKuLVe6GXNouvAXx2,female,24,54.0,16.831683168316832,Vulnerable,0.989622973268068,1.3519532838858759
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,male,19,49.0,8.108108108108109,Average,0.5866090927516603,-0.5365501349540479
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,male,24,64.0,10.144927536231885,Average,1.7956507343008836,-0.09561388725478237
QreA2rLiUhV3YHeMfuHMPdGbpJ53,female,21,44.0,11.578947368421051,Average,0.1835952122352525,0.21482665312943697
Rc706mP0TSeIoIpMYH1SpRXjOxA2,female,23,46.0,1.639344262295082,Average,0.3448007644418156,-1.9369258472246664
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,female,19,49.0,6.8181818181818175,Average,0.5866090927516603,-0.8157969107041513
WbOfW9KmUkPQK8o5hlHJnJFdpp92,male,19,22.0,6.122448979591836,Protected,-1.5896658620369417,-0.9664110608900668
WcTsIpSoEhYeIBSNjAbbdaNSBya2,female,19,30.0,13.829787234042554,Unexpected,-0.9448436532106893,0.7020946312404315
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,female,18,54.0,10.92436974789916,Average,0.989622973268068,0.07312189725586087
azdL1gX79EVd9iepyCAVQrqIaQF3,female,19,32.0,9.876543209876544,Average,-0.7836381010041262,-0.15371446120375953
cEIs6U87xfbSL5eFTXDK77MmvNf1,male,19,62.0,10.679611650485436,Average,1.6344451820943204,0.020135994049393372
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,male,19,40.0,8.403361344537815,Average,-0.13881589217787374,-0.47263290577075107
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,female,21,59.0,10.95890410958904,Average,1.3926368537844758,0.08059799044800604
fEq0OghbLpfD1jigl1Mbz96aMbg2,female,19,31.0,21.59090909090909,Unexpected,-0.8642408771074077,2.382243544910124
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,female,22,60.0,5.555555555555555,Resilient,1.4732396298877575,-1.0891337017822944
h5RYP03wJuVN0xo7qAR8CKFxLaj1,female,21,29.0,7.936507936507936,Protected,-1.025446429313971,-0.5736986100349387
i1tBstVkNiVP0qro7TgGD08IGGa2,female,20,26.0,10.0,Average,-1.2672547576238156,-0.12698819718723026
