term,coef,se,z,p,ci_lower,ci_upper
Intercept,705.2096337641551,32.40350996935408,21.76337175914318,5.161047831352312e-105,641.6999212515366,768.7193462767736
C(quartile)[T.Q2],-41.70341491918697,41.78749522886957,-0.9979879074057421,0.318285222490414,-123.60540057191066,40.19857073353673
C(quartile)[T.Q3],-100.11214542074457,41.787495228869545,-2.3957441065187495,0.01658666556047589,-182.0141310734682,-18.210159768020915
C(quartile)[T.Q4],-57.32068218562517,41.787495228869545,-1.3717185457439018,0.1701510727421689,-139.22266783834883,24.581303467098486
C(gender_male)[T.1],-95.02385264604958,52.60124783540204,-1.806494266892581,0.07084116885904217,-198.12040394530305,8.0726986532039
C(quartile)[T.Q2]:C(gender_male)[T.1],-26.040010485642647,67.77424012605793,-0.3842169301671115,0.7008176711143572,-158.87508021228558,106.79505924100027
C(quartile)[T.Q3]:C(gender_male)[T.1],91.79436905119601,67.7742401260579,1.3544138433785675,0.17560438350743568,-41.04070067544686,224.62943877783889
C(quartile)[T.Q4]:C(gender_male)[T.1],-101.3531091245723,67.7742401260579,-1.4954517960815021,0.13479657131443734,-234.18817885121518,31.481960602070572
z_ucla_total,-55.079615955581424,36.14821684702182,-1.5237159882236162,0.1275796737764508,-125.92881908108822,15.76958716992538
z_ucla_total:C(quartile)[T.Q2],55.879678175714396,41.17046047173052,1.3572760065213232,0.17469352810123562,-24.81294157580735,136.57229792723615
z_ucla_total:C(quartile)[T.Q3],138.40117304431504,41.17046047173053,3.3616620134561637,0.00077474891532128,57.70855329279328,219.0937927958368
z_ucla_total:C(quartile)[T.Q4],64.40569562675145,41.17046047173052,1.5643666572778627,0.11773148632064445,-16.286924124770294,145.09831537827318
z_ucla_total:C(gender_male)[T.1],137.3497546621409,53.7775093835098,2.554037110247011,0.010648190694972533,31.947773092196883,242.7517362320849
z_ucla_total:C(quartile)[T.Q2]:C(gender_male)[T.1],-41.264746730407694,68.69483272332333,-0.600696516674062,0.5480421395353601,-175.90414479212498,93.3746513313096
z_ucla_total:C(quartile)[T.Q3]:C(gender_male)[T.1],-139.8594240755742,68.69483272332334,-2.035952611441311,0.041755114042567716,-274.49882213729154,-5.220026013856881
z_ucla_total:C(quartile)[T.Q4]:C(gender_male)[T.1],-83.85553967764574,68.69483272332333,-1.220696468035434,0.22220096555169278,-218.49493773936302,50.78385838407155
z_age,46.643566380018356,16.00531985155447,2.914253936355307,0.0035653975759795177,15.273715909927628,78.01341685010908
z_dass_depression,-25.52864157034881,24.999263208072083,-1.0211757585761885,0.3071711752570788,-74.52629709820735,23.469013957509723
z_dass_anxiety,-3.5030426179525795,23.502326599666763,-0.14905088664720748,0.8815134796533429,-49.56675630619715,42.56067107029199
z_dass_stress,10.057436351365528,23.7529772215637,0.42341792599519146,0.671990368300705,-36.497543528499605,56.612416231230654
Group Var,0.20107447188977118,0.0874174987469079,2.3001627222476837,0.021439002889808136,0.02973932272725638,0.372409621052286
