outcome,estimator,feature,selected,rank,n
Stroop interference (ms),Ridge,z_ucla,False,3,81
Stroop interference (ms),Ridge,z_dass_dep,False,2,81
Stroop interference (ms),Ridge,z_dass_anx,False,4,81
Stroop interference (ms),Ridge,z_dass_stress,False,5,81
Stroop interference (ms),Ridge,age,True,1,81
Stroop interference (ms),Ridge,gender_male,False,6,81
Stroop interference (ms),LinearSVR,z_ucla,False,5,81
Stroop interference (ms),LinearSVR,z_dass_dep,False,6,81
Stroop interference (ms),LinearSVR,z_dass_anx,True,1,81
Stroop interference (ms),LinearSVR,z_dass_stress,False,3,81
Stroop interference (ms),LinearSVR,age,False,4,81
Stroop interference (ms),LinearSVR,gender_male,False,2,81
PRP bottleneck (ms),Ridge,z_ucla,False,3,77
PRP bottleneck (ms),Ridge,z_dass_dep,False,5,77
PRP bottleneck (ms),Ridge,z_dass_anx,False,4,77
PRP bottleneck (ms),Ridge,z_dass_stress,False,2,77
PRP bottleneck (ms),Ridge,age,True,1,77
PRP bottleneck (ms),Ridge,gender_male,True,1,77
PRP bottleneck (ms),LinearSVR,z_ucla,False,4,77
PRP bottleneck (ms),LinearSVR,z_dass_dep,False,5,77
PRP bottleneck (ms),LinearSVR,z_dass_anx,False,6,77
PRP bottleneck (ms),LinearSVR,z_dass_stress,False,2,77
PRP bottleneck (ms),LinearSVR,age,True,1,77
PRP bottleneck (ms),LinearSVR,gender_male,False,3,77
WCST total errors,Ridge,z_ucla,False,2,74
WCST total errors,Ridge,z_dass_dep,True,1,74
WCST total errors,Ridge,z_dass_anx,False,3,74
WCST total errors,Ridge,z_dass_stress,False,6,74
WCST total errors,Ridge,age,False,4,74
WCST total errors,Ridge,gender_male,False,5,74
WCST total errors,LinearSVR,z_ucla,False,2,74
WCST total errors,LinearSVR,z_dass_dep,True,1,74
WCST total errors,LinearSVR,z_dass_anx,False,4,74
WCST total errors,LinearSVR,z_dass_stress,False,5,74
WCST total errors,LinearSVR,age,False,3,74
WCST total errors,LinearSVR,gender_male,False,6,74
