participant_id,ucla_total,gender,age,incong_sd_rt,incong_cv_rt,cong_sd_rt,cong_cv_rt,gender_coded,z_ucla,z_age,ucla_x_gender
GE4hogtdLdTFbNasENgtm6SO3hC3,56.0,female,19,449.39901325220626,0.3463294460543981,393.9273353179284,0.35806646711209134,-1,1.2089805021183497,-0.6888638180434304,-1.2089805021183497
ORvIk1xRWIQmKuLVe6GXNouvAXx2,54.0,female,24,408.39136781021864,0.3598989792323878,267.34066527125236,0.324841159925072,-1,1.0432248205939831,1.8160955202963167,-1.0432248205939831
80UJMJbCOMgs6YVpsMgXfYTzw6o2,56.0,female,20,154.1441288801943,0.19928922853683925,142.87515704289316,0.20429950602523964,-1,1.2089805021183497,-0.18787195037548104,-1.2089805021183497
rUuJv5gl7dWVo7UPQWMx4bohxhK2,43.0,female,20,516.4156499330767,0.35516057290175235,309.5102900435708,0.28829871228705056,-1,0.13156857220996598,-0.18787195037548104,-0.13156857220996598
xyAILKfYP2M8GqAai11x6NT7IcP2,35.0,male,24,434.2469912717417,0.3824785231617965,230.74523173453198,0.24777863644193684,1,-0.531454153887501,1.8160955202963167,-0.531454153887501
pcbRW89vVJcviD87V3uxyG4I9st2,33.0,male,18,228.11611125539542,0.3254191484759464,156.18101758526774,0.2558643448831739,1,-0.6972098354118678,-1.18985568571138,-0.6972098354118678
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,42.0,female,20,472.3225551145712,0.3562778960357506,353.5646301144314,0.35077402788900075,-1,0.04869073144778261,-0.18787195037548104,-0.04869073144778261
yatBVTBMCSMp0wJluOCLzTFKMyP2,35.0,female,21,207.8267650851375,0.2098730270994001,225.86397613166864,0.23615646193092243,-1,-0.531454153887501,0.3131199172924684,0.531454153887501
u64Uf920g5VD9Byq26LT2rs5o4t1,34.0,male,21,197.14480881001472,0.25190737232408333,137.30117338503402,0.2006422641609948,1,-0.6143319946496844,0.3131199172924684,-0.6143319946496844
nT1qJOiMyDdJ9ui4el195A8Hsgs1,62.0,female,18,229.3836536772115,0.22127040547640978,236.28866378218777,0.2554533411066041,-1,1.70624754669145,-1.18985568571138,-1.70624754669145
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,40.0,male,19,292.2637098368189,0.3590083479472533,178.02605766173863,0.2970456476679379,1,-0.11706495007658413,-0.6888638180434304,-0.11706495007658413
dGL2zPQyEvdibcvxeTencpgoWbg2,37.0,male,19,323.3984372354761,0.3711771899661115,319.6709158563598,0.3890649775458571,1,-0.36569847236313424,-0.6888638180434304,-0.36569847236313424
