model,r2_mean,r2_std,mae_mean,mae_std,outcome,n
DummyMean,-0.22462131626970977,0.39516619353012217,76.17985067873303,17.354507195683045,Stroop interference (ms),81
Ridge,-0.2702488967250631,0.3712794140729543,76.1691791195785,13.568206183226078,Stroop interference (ms),81
RandomForest,-0.4520712184224866,0.5227130039116894,81.85796666666666,19.934264581945076,Stroop interference (ms),81
GradientBoosting,-0.901772117941747,0.8151973105808284,92.27662404954053,19.21335435189887,Stroop interference (ms),81
HistGradientBoosting,-0.3375821429689036,0.41686209520873485,80.18927564672269,16.474179480915893,Stroop interference (ms),81
DummyMean,-0.04606939391692229,0.08026928293402484,126.25862497796578,21.180843545301784,PRP bottleneck (ms),77
Ridge,-0.060770188710856654,0.2552894667780198,126.56944045529555,18.84801785632006,PRP bottleneck (ms),77
RandomForest,-0.1258340044125599,0.2560209376879064,131.1746822222222,18.727771379938282,PRP bottleneck (ms),77
GradientBoosting,-0.40670432843916765,0.48161737486169837,141.0836674521851,17.741855598067335,PRP bottleneck (ms),77
HistGradientBoosting,0.034506164489721554,0.2630777337184567,122.55120626399777,18.82473832343235,PRP bottleneck (ms),77
DummyMean,-0.19575954144346197,0.3097884826303887,8.885102502017755,1.9901769015436745,WCST total errors,74
Ridge,-0.4052620353584254,0.6035384815036244,9.506239841222826,2.3609593382355434,WCST total errors,74
RandomForest,-0.6992645936476236,1.0012007506020817,10.476985396825397,2.527099368894684,WCST total errors,74
GradientBoosting,-1.7547988395914353,1.9124125544537898,12.516423985649485,3.9571096720065513,WCST total errors,74
HistGradientBoosting,-0.5241945623954161,0.6985757393334306,9.740956340570698,2.057478497810659,WCST total errors,74
