solution,factor,gender,n,r,p
2-factor,Factor1,Male,31,0.25701471063545916,0.1627845207571317
2-factor,Factor2,Male,31,-0.34553876358967456,0.056918931072100644
2-factor,Factor1,Female,51,-0.1578946398513885,0.2684677897216162
2-factor,Factor2,Female,51,0.1972795757234282,0.1652555587114647
3-factor,Factor1,Male,31,0.25528200572830834,0.16573735927806088
3-factor,Factor2,Male,31,-0.2938508319247456,0.10860167217456217
3-factor,Factor3,Male,31,0.21667961598010277,0.24167204426015723
3-factor,Factor1,Female,51,-0.1506878468287492,0.2912014982863512
3-factor,Factor2,Female,51,0.19188830841058926,0.17735044020085536
3-factor,Factor3,Female,51,-0.06519792273693381,0.64943479197402
