analysis_name,tier,outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,delta_r2_ucla,delta_r2_interaction,p_dass,p_ucla,p_interaction
wcst_pe,1,WCST Perseverative Error Rate,196,0.00037272560539280963,0.020674830832602686,0.02094253753923425,0.022461904561201118,0.020302105227209877,0.00026770670663156526,0.0015193670219668665,0.2714839493485699,0.8064540608662722,0.48683874249767156
wcst_accuracy,1,WCST Accuracy,196,0.0178017051166095,0.030494617350012798,0.033589466683624836,0.035797359982053134,0.012692912233403297,0.0030948493336120375,0.0022078932984282984,0.47930764233071577,0.49394904352730273,0.3863658324542316
stroop_interference,1,Stroop Interference Effect (Incongruent - Congruent RT),196,0.01723414750334884,0.02778641902804002,0.02961589273692644,0.03185040188706745,0.010552271524691181,0.00182947370888642,0.0022345091501410064,0.5607624074003092,0.5637056492336885,0.49336198663116637
prp_bottleneck,1,PRP Bottleneck Effect (Short SOA - Long SOA),190,0.0912706821094057,0.09398969451947758,0.10418176990435568,0.11610959328997361,0.002719012410071886,0.010192075384878097,0.01192782338561793,0.9071323895381219,0.17650504361889205,0.08611794814827693
prp_soa_slope,2,PRP SOA Slope (linear trend in T2 RT across SOA),190,0.09190180092033051,0.09393003553377743,0.10342702898093503,0.11548138401615238,0.002028234613446922,0.009496993447157598,0.012054355035217346,0.9376403601455161,0.1933963385484632,0.08514728327601617
prp_cv_short,2,PRP Coefficient of Variation at Short SOA,190,0.011251721438353957,0.03227730034366094,0.03377071685797295,0.046580597761959,0.021025578905306985,0.001493416514312007,0.012809880903986048,0.26519878620758847,0.646335420770856,0.16202355565747473
prp_tau,2,PRP Ex-Gaussian Tau (attentional lapses),190,0.001364642568771779,0.015583516116522755,0.01576371492168216,0.01576621077997742,0.014218873547750976,0.0001801988051594039,2.4958582952594455e-06,0.44951266909505727,0.8709410354632646,0.9847732181103853
prp_mu,2,PRP Ex-Gaussian Mu (processing speed),190,0.06926621661500276,0.095915282383918,0.09878476961109539,0.10025785699750178,0.026649065768915237,0.002869487227177392,0.001473087386406391,0.14727527959577544,0.49624632615763387,0.6603553284081899
prp_sigma,2,PRP Ex-Gaussian Sigma (response variability),190,0.0942781625214203,0.10002316654455878,0.10783679166722326,0.10820121371462044,0.005745004023138489,0.00781362512266448,0.00036442204739717265,0.7592457173944809,0.2683590765071135,0.7945597776099
meta_control,2,Latent Meta-Control Factor (PCA across EF tasks),190,0.060816741135278796,0.07929238794355542,0.0872606666588509,0.09815488982244247,0.018475646808276625,0.007968278715295485,0.010894223163591565,0.29990762983112423,0.21962859479386776,0.10382226165568657
wcst_mean_rt,2,WCST Mean RT,196,0.0876705168168701,0.09843878975377207,0.11385523173787593,0.11664985259826899,0.010768272936901968,0.015416441984103857,0.00279462086039306,0.5198712261218468,0.10413407906110364,0.43152583709589
wcst_sd_rt,2,WCST RT SD,196,0.0031133236982444634,0.00608146871486237,0.019835113429910733,0.022114819026520793,0.002968145016617907,0.013753644715048363,0.00227970559661006,0.9037083030438972,0.17154549682118722,0.49221093380383474
wcst_pe_count,2,WCST Perseverative Error Count,196,0.0003035656814804888,0.019171148434657614,0.01955592794957217,0.020761599677818432,0.018867582753177126,0.0003847795149145572,0.0012056717282462603,0.3043270307284967,0.7602154295361396,0.5272103794433973
wcst_perseverative_responses_percent,2,WCST Perseverative Responses (%),61,0.021017791115354623,0.14242134795345496,0.1475207484987031,0.18855285299117297,0.12140355683810033,0.005099400545248156,0.041032104492469856,0.06162265131810551,0.6563543240058145,0.09705225038009183
wcst_conceptual_level_responses_percent,2,WCST Conceptual Level Responses (%),61,0.03205948819456861,0.03879632042556469,0.039136550300144846,0.03928492122682503,0.0067368322309960815,0.00034022987458015574,0.0001483709266801858,0.9427918964530156,0.903351678352597,0.9320699840202433
stroop_rt_congruent,2,Stroop Congruent RT,196,0.03407841960981728,0.05042426685792667,0.05084734246593425,0.05287011844229805,0.01634584724810939,0.0004230756080075837,0.0020227759763638,0.35447823267217254,0.7822139795034282,0.5621732372377406
stroop_rt_incongruent,2,Stroop Incongruent RT,196,0.04449927476868465,0.05521674697981982,0.056636048305568454,0.06023667964660928,0.01071747221113517,0.0014193013257486342,0.0036006313410408275,0.5420996144823635,0.6162382598813783,0.40627301429416074
stroop_acc_congruent,2,Stroop Congruent Accuracy,196,0.0013732878969485718,0.015006528560547516,0.02152167645242231,0.022941933659357705,0.013633240663598944,0.006515147891874795,0.0014202572069353936,0.45423864825724425,0.45720181896205736,0.5671191057246754
stroop_acc_incongruent,2,Stroop Incongruent Accuracy,196,0.0003300758440235585,0.011594405506706873,0.011799372486164916,0.012935137885139003,0.011264329662683314,0.00020496697945804332,0.0011357653989740868,0.5401227517535068,0.8579721271662181,0.6083938563876897
prp_rt_short,2,PRP T2 RT (Short SOA),190,0.0949140501466752,0.10834040326785499,0.1140179840365656,0.11728777076747632,0.01342635312117979,0.005677580768710611,0.0032697867309107176,0.430558565132633,0.32132308881634586,0.49085540076200085
prp_rt_long,2,PRP T2 RT (Long SOA),190,0.03383210428745509,0.0669483299752881,0.0674189624135717,0.06753662800145921,0.03311622568783301,0.00047063243828360246,0.00011766558788750547,0.09227265742491672,0.766165574239613,0.9094042748432121
prp_sd_short,2,PRP T2 RT SD (Short SOA),190,0.021096742330530716,0.029037878655858274,0.029519391703002995,0.03222841807685506,0.007941136325327558,0.00048151304714472154,0.0027090263738520637,0.6816225284574778,0.7872366308241774,0.5449637860080114
