outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla,p_ucla_ols,delta_r2_interaction,p_interaction,p_interaction_ols,ucla_beta,ucla_se,ucla_p,interaction_beta,interaction_se,interaction_p,interaction_term,female_ucla_beta,female_ucla_p,male_ucla_beta,male_ucla_p,vif_max,bp_p,shapiro_p,analysis_name,hypothesis,tier,p_ucla_fdr,p_interaction_fdr
WCST Perseverative Error Rate,pe_rate,196,0.00037272560539280963,0.020674830832602686,0.02094253753923425,0.022461904561201118,1263.1362587536541,1265.1145832991401,1267.0609977393224,1268.7565955393266,0.020302105227209877,0.2714839493485699,0.00026770670663156526,0.8064540608662722,0.820412992628616,0.0015193670219668665,0.48683874249767156,0.5894511475143274,-0.13317980393443352,0.5428224977039897,0.8061878589726191,0.4888216312621722,0.7016043524044169,0.48597817654662556,z_ucla:C(gender_male)[T.1],-0.27467738347091525,0.7100027310139259,0.21835526819687237,0.8138034845177236,2.512861309834223,0.9065618093851711,6.625966740225166e-14,wcst_pe,H1_PRIMARY,1,0.8064540608662722,0.49336198663116637
WCST Accuracy,wcst_accuracy,196,0.0178017051166095,0.030494617350012798,0.033589466683624836,0.035797359982053134,1480.6220979558593,1484.072688532977,1485.4460177347923,1486.9977173904988,0.012692912233403297,0.47930764233071577,0.0030948493336120375,0.49394904352730273,0.43755213942804405,0.0022078932984282984,0.3863658324542316,0.5125486185061905,0.7956081749446409,1.1608415956602576,0.4931092903355663,-1.0353301099518735,1.192436595533286,0.3852588481353283,z_ucla:C(gender_male)[T.1],1.6230014465188478,0.31283385821212095,-0.7368061549918088,0.67772299960471,2.512861309834223,0.5927341800831456,4.168298656004981e-15,wcst_accuracy,H2,1,0.7516075323115846,0.49336198663116637
Stroop Interference Effect (Incongruent - Congruent RT),stroop_interference,196,0.01723414750334884,0.02778641902804002,0.02961589273692644,0.03185040188706745,2375.3932668403845,2379.2773721465132,2380.9081995122374,2382.456348728128,0.010552271524691181,0.5607624074003092,0.00182947370888642,0.5637056492336885,0.5512696608778684,0.0022345091501410064,0.49336198663116637,0.510883559199032,5.994166654749423,10.36397003826866,0.5630171244627699,10.206271532799803,14.871184448245916,0.4925164176716803,z_ucla:C(gender_male)[T.1],1.1128495567994854,0.9342936515464847,13.911579456823265,0.4483156977385432,2.512861309834223,0.25364482749534917,0.00012399411630662036,stroop_interference,H3,1,0.7516075323115846,0.49336198663116637
PRP Bottleneck Effect (Short SOA - Long SOA),prp_bottleneck,190,0.0912706821094057,0.09398969451947758,0.10418176990435568,0.11610959328997361,2441.082303837733,2446.512951917668,2446.3634521858444,2445.816607910337,0.002719012410071886,0.9071323895381219,0.010192075384878097,0.17650504361889205,0.15074813757104907,0.01192782338561793,0.08611794814827693,0.11881115374987208,21.287462748924042,15.689060829975125,0.17483372690006782,35.16286410927691,20.377263854418857,0.08442065743078349,z_ucla:C(gender_male)[T.1],7.430127852234898,0.716319829193401,30.498019989516486,0.16512806476831632,2.508947549658572,0.2385887023687049,0.23921702729785604,prp_bottleneck,H4,1,0.7060201744755682,0.34447179259310773
PRP SOA Slope (linear trend in T2 RT across SOA),prp_soa_slope,190,0.09190180092033051,0.09393003553377743,0.10342702898093503,0.11548138401615238,-222.78049578137393,-217.2053348286645,-217.20733468580465,-217.77919841707535,0.002028234613446922,0.9376403601455161,0.009496993447157598,0.1933963385484632,0.1655279260388163,0.012054355035217346,0.08514728327601617,0.11701519824370568,-0.018554977353645676,0.014214043304713434,0.19175751106066063,-0.03191908282429892,0.018439723416330798,0.08345252287568967,z_ucla:C(gender_male)[T.1],-0.006173390089442478,0.7389552434655355,-0.026683535311437707,0.1818214963948579,2.508947549658572,0.25477573718348256,0.1902237859774754,prp_soa_slope,H4_EXT,2,0.903351678352597,0.657540990486015
PRP Coefficient of Variation at Short SOA,prp_cv_short,190,0.011251721438353957,0.03227730034366094,0.03377071685797295,0.046580597761959,-469.30134561706916,-467.38524344904295,-465.678683200023,-466.2144737512956,0.021025578905306985,0.26519878620758847,0.001493416514312007,0.646335420770856,0.5954861523408883,0.012809880903986048,0.16202355565747473,0.1196143074209035,-0.0036858492538859007,0.008019361662064902,0.6457898740807498,-0.016482788858437486,0.0117398953948955,0.16031946532369357,z_ucla:C(gender_male)[T.1],0.0008692825156795441,0.9308798776993874,-0.006727591372319874,0.6300213547639233,2.508947549658572,0.31411554010747017,0.03155739944032062,prp_cv_short,H4_VARIABILITY,2,0.903351678352597,0.769611889373005
PRP Ex-Gaussian Tau (attentional lapses),prp_tau,190,0.001364642568771779,0.015583516116522755,0.01576371492168216,0.01576621077997742,2307.886769394113,2311.1620476123067,2313.1272646646835,2315.12678285591,0.014218873547750976,0.44951266909505727,0.0001801988051594039,0.8709410354632646,0.8549673472978923,2.4958582952594455e-06,0.9847732181103853,0.9828838360269665,1.901760401911222,11.689382468906931,0.8707615261595576,-0.3417439728783589,17.88173528218784,0.9847522828355321,z_ucla:C(gender_male)[T.1],1.592103900223563,0.9135324014443714,4.204303849821098,0.8428579729629748,2.508947549658572,0.11096018728466811,0.06232294541538922,prp_tau,H5_LAPSE,2,0.903351678352597,0.9847732181103853
PRP Ex-Gaussian Mu (processing speed),prp_mu,190,0.06926621661500276,0.095915282383918,0.09878476961109539,0.10025785699750178,2606.992231341097,2607.4726896829907,2608.868686970967,2610.5578671037442,0.026649065768915237,0.14727527959577544,0.002869487227177392,0.49624632615763387,0.44624839878355105,0.001473087386406391,0.6603553284081899,0.5858222987790394,17.270878935400006,25.332412407282085,0.49538439358098085,18.89459564759302,42.92824737912794,0.6598330665915405,z_ucla:C(gender_male)[T.1],19.8472805604761,0.5251296545192603,-0.8706768098002371,0.9851887067335076,2.508947549658572,0.6910734274416248,7.4732103227833715e-06,prp_mu,H5_SPEED,2,0.903351678352597,0.8961965171254006
PRP Ex-Gaussian Sigma (response variability),prp_sigma,190,0.0942781625214203,0.10002316654455878,0.10783679166722326,0.10820121371462044,2294.5152343580567,2299.30622372402,2299.64943558728,2301.5718104022394,0.005745004023138489,0.7592457173944809,0.00781362512266448,0.2683590765071135,0.2071265485937947,0.00036442204739717265,0.7945597776099,0.7853836231413304,12.694924411734101,11.434558375937002,0.2669023899012495,4.186173369752454,16.05273134181415,0.7942649507162223,z_ucla:C(gender_male)[T.1],15.4521891738972,0.3077958704608056,0.6416687633990747,0.9709802865384971,2.508947549658572,0.2404597394981126,0.91637258246283,prp_sigma,H5_VARIABILITY,2,0.903351678352597,0.9435397359117563
Latent Meta-Control Factor (PCA across EF tasks),meta_control_score,190,0.060816741135278796,0.07929238794355542,0.0872606666588509,0.09815488982244247,567.1418840709912,569.3669439152065,569.7154290001686,569.4339950569888,0.018475646808276625,0.29990762983112423,0.007968278715295485,0.21962859479386776,0.20785088097834428,0.010894223163591565,0.10382226165568657,0.13987042850488132,0.133606477271628,0.10847016837340716,0.21804817912251018,0.238536280895596,0.1459128121850653,0.10209383281157049,z_ucla:C(gender_male)[T.1],0.04213298929969554,0.773147808066647,0.22860704181493707,0.1931217878466721,2.508947549658572,0.32458573957428044,0.031146940602469923,meta_control,H6_METACONTROL,2,0.903351678352597,0.657540990486015
