Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,192,20.453125,3.6735777423813114,-20.0,36.0,20.0,-6.401652293398738,76.51356600243194
Total,UCLA Loneliness,ucla_score,192,40.619791666666664,11.091066352517739,20.0,70.0,40.0,0.266705389211424,-0.5787797502840699
Total,DASS-21 Depression,dass_depression,191,7.507853403141361,7.775040436481508,0.0,38.0,4.0,1.6037720948608556,2.722497297860497
Total,DASS-21 Anxiety,dass_anxiety,191,5.528795811518324,5.738875565197809,0.0,26.0,4.0,1.2425744030646158,1.0801516268554794
Total,DASS-21 Stress,dass_stress,191,9.895287958115183,7.569295927475443,0.0,30.0,8.0,0.6755181492931164,-0.312887696042603
Total,WCST Perseverative Error Rate,pe_rate,191,10.601182914589804,6.023309285185059,0.0,48.41269841269841,9.67741935483871,2.3055290787911997,9.6801113284668
Total,WCST Accuracy,wcst_accuracy,191,82.58576962097446,10.253220038816973,40.0,100.0,85.18518518518519,-2.061335677538012,5.106053260498685
Total,Stroop Interference Effect,stroop_interference,191,137.30074350891135,103.67468803196212,-94.169444443658,480.5887301595913,124.36111111111109,0.7988444274894593,0.710843162558457
Total,PRP Delay Effect,prp_bottleneck,186,582.1956493529852,153.6548634466833,68.33926493840238,981.2900000000024,578.1327735871391,0.09355857660739718,0.026876292940802404
Male,Age (years),age,76,21.05263157894737,2.1534142616914522,18.0,29.0,21.0,0.7299477779007943,0.588891812111223
Male,UCLA Loneliness,ucla_score,76,38.28947368421053,11.147275648604232,20.0,65.0,37.0,0.5313500452478309,-0.3376296209297345
Male,DASS-21 Depression,dass_depression,75,5.8933333333333335,7.03576449165135,0.0,28.0,2.0,1.4263822063646996,1.3581875834827084
Male,DASS-21 Anxiety,dass_anxiety,75,4.826666666666667,5.864168182143864,0.0,26.0,2.0,1.4533262047977877,1.5508703627111142
Male,DASS-21 Stress,dass_stress,75,8.72,7.757402741723374,0.0,28.0,6.0,0.7365384491740083,-0.377654539523101
Male,WCST Perseverative Error Rate,pe_rate,76,10.64284376853799,6.354365944011798,0.0,48.41269841269841,9.739159891598916,3.157721836057522,15.640328752260928
Male,WCST Accuracy,wcst_accuracy,76,83.93230843301835,8.677756569299033,42.4,97.10144927536231,85.97915115413254,-2.6161035425738044,9.07567798231907
Male,Stroop Interference Effect,stroop_interference,76,122.71977904196889,91.76820087307594,-81.85087301267515,398.0202381048885,110.9147058651273,0.5347099308037798,0.4322552334617247
Male,PRP Delay Effect,prp_bottleneck,75,528.685986955235,134.93879609104957,304.22795030891155,931.4046195652066,515.5922925839783,0.3848124131243565,-0.19245000885802144
Female,Age (years),age,113,20.079646017699115,4.410097166325805,-20.0,36.0,20.0,-6.187842316729393,60.19092890117211
Female,UCLA Loneliness,ucla_score,113,42.0353982300885,10.841330640802868,20.0,70.0,42.0,0.14584696985867177,-0.5284679179731686
Female,DASS-21 Depression,dass_depression,113,8.389380530973451,7.717597734489877,0.0,38.0,6.0,1.6381075059790355,2.9961333082271615
Female,DASS-21 Anxiety,dass_anxiety,113,5.876106194690266,5.353791619301942,0.0,22.0,4.0,0.9697582105041442,0.22984377682666457
Female,DASS-21 Stress,dass_stress,113,10.548672566371682,7.286228632596758,0.0,30.0,10.0,0.659797044312048,-0.25611462465375157
Female,WCST Perseverative Error Rate,pe_rate,112,10.586763248785903,5.89326733810551,0.0,34.82142857142857,9.482020547945204,1.543211628350273,3.7607656115663737
Female,WCST Accuracy,wcst_accuracy,112,81.90216023945017,10.833417964304708,40.0,100.0,84.56959706959707,-1.8302437402332525,4.041855507043772
Female,Stroop Interference Effect,stroop_interference,112,146.59461439762728,107.03792587081297,-94.169444443658,480.5887301595913,132.50555554744255,0.8209614090383375,0.5748973184857351
Female,PRP Delay Effect,prp_bottleneck,108,624.9471171772474,147.85512366721878,321.81408268733924,981.2900000000024,630.4343239263667,0.14080652460790619,-0.4425397363536425
